Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,83,66,71,75,33,2
best_MOL,-190.746,-167.328,-159.908,-166.884,-164.139,-152.796
Iteration_1,-190.84242,-167.47994,-160.06156,-167.12671,-164.3061,-153.2099
Iteration_2,-190.83149,-167.46896,-160.07653,-167.09891,-164.26407,-153.19505
Iteration_3,-190.85347,-167.52892,-160.12608,-167.0737,-164.27868,-153.38685
Iteration_4,-190.87145,-167.42548,-160.0348,-167.11376,-164.25076,-153.13149
Iteration_5,-190.86141,-167.49475,-160.04503,-167.02065,-164.24929,-152.96646
Iteration_6,-190.8373,-167.44484,-160.05603,-167.08971,-164.31722,-153.35235
Iteration_7,-190.9344,-167.44734,-160.09543,-167.13745,-164.27205,-153.1505
Iteration_8,-190.89978,-167.51804,-160.00388,-167.02149,-164.31695,-153.25432
Iteration_9,-190.86419,-167.48219,-160.05846,-167.12025,-164.30981,-153.19643
Iteration_10,-190.8387,-167.51688,-160.04469,-167.03436,-164.30712,-153.28835
Iteration_11,-190.8759,-167.44105,-160.08427,-167.03959,-164.25291,-153.30242
Iteration_12,-190.83551,-167.50825,-160.09396,-167.14705,-164.31451,-153.15304
Iteration_13,-190.83105,-167.50161,-160.11288,-167.06264,-164.30352,-153.40871
Iteration_14,-190.86239,-167.47856,-160.02845,-167.04287,-164.29731,-153.37746
Iteration_15,-190.87587,-167.44974,-160.15395,-167.12041,-164.27047,-153.37916
Iteration_16,-190.84896,-167.44294,-160.06636,-167.0107,-164.2509,-153.19807
Iteration_17,-190.89352,-167.45251,-160.07355,-167.04935,-164.25445,-153.13437
Iteration_18,-190.8663,-167.48412,-160.04937,-167.03166,-164.29523,-153.26977
Iteration_19,-190.84506,-167.4891,-160.06541,-167.11074,-164.29954,-153.20273
Iteration_20,-190.88885,-167.51593,-160.08419,-167.15007,-164.30523,-153.12445
Iteration_21,-190.83142,-167.36619,-160.11483,-167.12866,-164.30683,-153.22638
Iteration_22,-190.84161,-167.41201,-160.01994,-167.07654,-164.26708,-153.37371
Iteration_23,-190.84629,-167.48173,-160.05323,-167.12933,-164.23032,-153.19824
