Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,47,58,41,69,8,6
best_MOL,-107.613,-103.327,-103.33,-104.364,-103.207,-103.192
Iteration_1,-107.73505,-103.45848,-103.4085,-104.44883,-103.3338,-103.29889
Iteration_2,-107.73287,-103.44446,-103.4029,-104.44875,-103.2444,-103.3137
Iteration_3,-107.7363,-103.39479,-103.47161,-104.42442,-103.30349,-103.25231
Iteration_4,-107.79121,-103.4081,-103.42611,-104.41752,-103.26785,-103.2752
Iteration_5,-107.74067,-103.43104,-103.44633,-104.44107,-103.29432,-103.27006
Iteration_6,-107.74459,-103.41723,-103.40853,-104.43401,-103.27729,-103.27972
Iteration_7,-107.7366,-103.42639,-103.41623,-104.46577,-103.26881,-103.33392
Iteration_8,-107.75798,-103.37989,-103.38672,-104.43298,-103.27924,-103.23838
Iteration_9,-107.70988,-103.43845,-103.45677,-104.47557,-103.34387,-103.30782
Iteration_10,-107.72428,-103.42998,-103.43731,-104.46647,-103.32799,-103.31347
Iteration_11,-107.72923,-103.45002,-103.46536,-104.43057,-103.28887,-103.28223
Iteration_12,-107.73572,-103.45991,-103.41777,-104.43452,-103.27941,-103.31597
Iteration_13,-107.75856,-103.43123,-103.4164,-104.44832,-103.25955,-103.28618
Iteration_14,-107.7265,-103.41368,-103.40186,-104.43951,-103.30813,-103.32094
Iteration_15,-107.74465,-103.42414,-103.38225,-104.46339,-103.28539,-103.27129
Iteration_16,-107.72367,-103.43345,-103.39479,-104.43138,-103.33248,-103.27093
Iteration_17,-107.71167,-103.42839,-103.46789,-104.4478,-103.27787,-103.27764
Iteration_18,-107.72035,-103.41677,-103.41683,-104.42361,-103.30577,-103.29217
Iteration_19,-107.77896,-103.41161,-103.39498,-104.43525,-103.36129,-103.28675
Iteration_20,-107.74248,-103.48945,-103.44337,-104.4414,-103.29649,-103.31269
Iteration_21,-107.74409,-103.47275,-103.40756,-104.42164,-103.31602,-103.29064
Iteration_22,-107.74822,-103.41411,-103.39713,-104.41263,-103.27976,-103.32725
Iteration_23,-107.73397,-103.45853,-103.44668,-104.44066,-103.27632,-103.27329
Iteration_24,-107.7014,-103.43008,-103.43573,-104.44016,-103.25681,-103.26483
Iteration_25,-107.7361,-103.40497,-103.4498,-104.43072,-103.33578,-103.32069
Iteration_26,-107.75033,-103.46584,-103.41189,-104.43033,-103.2799,-103.27249
Iteration_27,-107.7843,-103.39987,-103.45048,-104.42616,-103.30024,-103.27452
Iteration_28,-107.72134,-103.44209,-103.3981,-104.41729,-103.33415,-103.27511
Iteration_29,-107.77129,-103.42798,-103.45535,-104.4332,-103.26816,-103.259
Iteration_30,-107.76903,-103.36988,-103.45637,-104.44562,-103.277,-103.26457
Iteration_31,-107.72283,-103.43474,-103.41808,-104.42699,-103.23915,-103.25757
Iteration_32,-107.74393,-103.39793,-103.45096,-104.44335,-103.30514,-103.29162
Iteration_33,-107.66884,-103.425,-103.43223,-104.44933,-103.32428,-103.24723
Iteration_34,-107.73676,-103.40547,-103.42638,-104.44292,-103.27513,-103.26644
Iteration_35,-107.68761,-103.47124,-103.43286,-104.45899,-103.30706,-103.29325
Iteration_36,-107.70772,-103.44743,-103.40768,-104.46339,-103.26682,-103.29269
Iteration_37,-107.72924,-103.41295,-103.40261,-104.42968,-103.28742,-103.25134
Iteration_38,-107.70314,-103.4184,-103.4727,-104.41096,-103.25676,-103.29472
Iteration_39,-107.78052,-103.45849,-103.41602,-104.45619,-103.3354,-103.28928
Iteration_40,-107.7652,-103.40874,-103.43483,-104.42608,-103.31112,-103.30556
Iteration_41,-107.73722,-103.4018,-103.42094,-104.37241,-103.2741,-103.29199
Iteration_42,-107.76535,-103.44746,-103.4575,-104.43883,-103.34587,-103.28385
Iteration_43,-107.7459,-103.44709,-103.46478,-104.45103,-103.32146,-103.29373
Iteration_44,-107.72903,-103.43785,-103.4144,-104.46016,-103.31895,-103.35081
Iteration_45,-107.75322,-103.39376,-103.4063,-104.43805,-103.27212,-103.30479
Iteration_46,-107.6972,-103.45697,-103.40208,-104.39361,-103.27284,-103.2676
Iteration_47,-107.70043,-103.44386,-103.40644,-104.45268,-103.32039,-103.28303
Iteration_48,-107.70569,-103.4243,-103.43697,-104.38806,-103.31145,-103.33816
Iteration_49,-107.72508,-103.43327,-103.4623,-104.46653,-103.31678,-103.29485
Iteration_50,-107.69297,-103.36298,-103.46101,-104.45159,-103.26396,-103.30775
Iteration_51,-107.70818,-103.42973,-103.39802,-104.4033,-103.31517,-103.32326
Iteration_52,-107.78461,-103.43613,-103.44467,-104.44326,-103.26313,-103.29547
Iteration_53,-107.73175,-103.41059,-103.43504,-104.44619,-103.30321,-103.23758
Iteration_54,-107.74926,-103.4268,-103.39613,-104.4608,-103.23996,-103.31904
Iteration_55,-107.70699,-103.42143,-103.40235,-104.42371,-103.31315,-103.29504
Iteration_56,-107.77213,-103.38784,-103.41943,-104.43145,-103.29411,-103.24381
Iteration_57,-107.71884,-103.40261,-103.43141,-104.40425,-103.28205,-103.27783
Iteration_58,-107.75613,-103.41009,-103.44817,-104.42001,-103.2763,-103.29872
Iteration_59,-107.73863,-103.43572,-103.42958,-104.43954,-103.31537,-103.2976
Iteration_60,-107.7285,-103.41955,-103.4199,-104.43972,-103.29108,-103.29252
Iteration_61,-107.6976,-103.39635,-103.38136,-104.45047,-103.2791,-103.29817
Iteration_62,-107.72102,-103.48675,-103.44403,-104.44071,-103.31306,-103.31398
Iteration_63,-107.76402,-103.4282,-103.41829,-104.40846,-103.30871,-103.27794
Iteration_64,-107.73403,-103.38524,-103.44558,-104.43621,-103.26996,-103.26904
Iteration_65,-107.73168,-103.44008,-103.39981,-104.439,-103.32533,-103.28126
Iteration_66,-107.7367,-103.44275,-103.403,-104.47639,-103.2998,-103.30048
Iteration_67,-107.73431,-103.42995,-103.42198,-104.405,-103.24962,-103.31492
Iteration_68,-107.7602,-103.42819,-103.42463,-104.42573,-103.26401,-103.31335
Iteration_69,-107.76765,-103.44143,-103.40359,-104.40361,-103.28834,-103.29664
Iteration_70,-107.73719,-103.4299,-103.44856,-104.41138,-103.33363,-103.23712
Iteration_71,-107.74581,-103.47288,-103.44675,-104.44859,-103.3078,-103.29645
Iteration_72,-107.70209,-103.46758,-103.44591,-104.45079,-103.26482,-103.31178
Iteration_73,-107.75763,-103.47057,-103.42956,-104.4437,-103.28958,-103.27355
Iteration_74,-107.74705,-103.40132,-103.42925,-104.43111,-103.30944,-103.28221
Iteration_75,-107.73918,-103.46407,-103.37761,-104.43909,-103.24315,-103.30141
Iteration_76,-107.73714,-103.39849,-103.43473,-104.4501,-103.31569,-103.26696
Iteration_77,-107.74284,-103.41821,-103.42341,-104.47072,-103.25185,-103.30079
Iteration_78,-107.71814,-103.46033,-103.43161,-104.42307,-103.32443,-103.30744
Iteration_79,-107.72209,-103.42591,-103.40831,-104.46408,-103.25405,-103.34568
Iteration_80,-107.721,-103.43449,-103.44764,-104.45781,-103.30263,-103.29769
Iteration_81,-107.69338,-103.40863,-103.43382,-104.41199,-103.30999,-103.26832
Iteration_82,-107.73395,-103.40938,-103.44376,-104.45824,-103.28444,-103.30781
Iteration_83,-107.71962,-103.41216,-103.40893,-104.44304,-103.27138,-103.30088
Iteration_84,-107.75676,-103.46593,-103.44598,-104.43199,-103.32492,-103.28194
Iteration_85,-107.69371,-103.37882,-103.39752,-104.43269,-103.27845,-103.23598
Iteration_86,-107.71478,-103.43465,-103.46031,-104.45578,-103.27644,-103.29626
Iteration_87,-107.68477,-103.3948,-103.37293,-104.4641,-103.27191,-103.28806
Iteration_88,-107.73858,-103.42247,-103.38909,-104.44785,-103.2884,-103.31496
Iteration_89,-107.77787,-103.47787,-103.40718,-104.43404,-103.27934,-103.30943
Iteration_90,-107.70513,-103.39891,-103.40914,-104.4321,-103.33157,-103.29849
Iteration_91,-107.75792,-103.42941,-103.42348,-104.41859,-103.31159,-103.29304
Iteration_92,-107.6874,-103.41179,-103.43467,-104.44513,-103.27544,-103.2858
Iteration_93,-107.71313,-103.45341,-103.4418,-104.46295,-103.29301,-103.28217
Iteration_94,-107.73853,-103.43356,-103.44056,-104.42053,-103.29802,-103.32186
Iteration_95,-107.70727,-103.49135,-103.43511,-104.43205,-103.33121,-103.26918
Iteration_96,-107.74465,-103.39822,-103.43198,-104.43447,-103.25704,-103.2902
Iteration_97,-107.75071,-103.48031,-103.42093,-104.44104,-103.32362,-103.22596
