ITERATION,NVJAM0,NVJAC1,TBOT,GAM,JUMP,MaxEstLhood,MaxObsLhood,,,,
1,7340,194,51,-1.49E-01,334,-199918.465,-199896.977,,,,
2,11207,365,93,-7.95E-02,175,-199643.415,-199623.861,,,,
3,10434,321,83,-8.97E-02,200,-199833.516,-199819.962,,,,
4,4554,177,45,-1.59E-01,365,-199665.957,-199646.844,,,,
5,8370,245,62,-1.21E-01,261,-198879.934,-198865.687,,,,
6,10255,423,111,-6.37E-02,152,-199238.994,-199216.641,,,,
7,6194,243,62,-1.15E-01,266,-201148.051,-201131.026,,,,
8,7305,248,64,-1.15E-01,261,-199552.039,-199534.759,,,,
9,8868,354,89,-8.02E-02,181,-199954.579,-199940.246,,,,
10,3865,117,29,-2.59E-01,544,-198723.025,-198707.802,,,,
11,7178,205,54,-1.39E-01,316,-199770.639,-199750.634,,,,
12,2727,85,22,-3.37E-01,758,-199295.401,-199280.562,,,,
13,6897,271,69,-1.04E-01,237,-198435.927,-198423.348,,,,
14,9410,320,82,-8.94E-02,200,-198911.766,-198893.869,,,,
15,5107,162,41,-1.81E-01,400,-200913.658,-200893.788,,,,
16,10076,531,131,-5.23E-02,121,-200221.877,-200203.676,,,,
17,7512,216,55,-1.37E-01,296,-198900.909,-198886.296,,,,
18,8173,270,70,-1.05E-01,236,-198766.675,-198745.446,,,,
19,7831,195,50,-1.54E-01,332,-201189.659,-201170.385,,,,
20,3115,91,23,-3.28E-01,705,-198315.793,-198302.958,,,,
21,2897,104,27,-2.68E-01,622,-199972.696,-199951.048,,,,
22,9474,306,80,-9.20E-02,207,-198267.702,-198243.965,,,,
23,7839,359,92,-7.58E-02,178,-199521.885,-199505.905,,,,
24,4125,125,33,-2.25E-01,518,-199619.368,-199602.203,,,,
25,3754,107,27,-2.80E-01,597,-199964.855,-199951.086,,,,
26,7027,282,72,-9.92E-02,227,-199198.128,-199179.38,,,,
27,9022,346,89,-8.08E-02,187,-199536.46,-199519.872,,,,
28,10714,345,90,-8.20E-02,185,-197955.47,-197934.512,,,,
29,8134,310,81,-8.84E-02,209,-199599.812,-199582.199,,,,
30,11077,444,114,-6.24E-02,144,-198419.231,-198402.192,,,,
31,4834,181,46,-1.57E-01,356,-199744.718,-199727.128,,,,
