ITERATION,NVJAM0,NVJAC1,TBOT,GAM,N0M1,N1M0,JUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
1,6267,95,26,-3.20E-01,1.31E-02,0.0645455,392,6.79E-04,2.09E-06,-196963.126,-196947.504
2,3454,75,19,-4.19E-01,1.06E-05,3.62E-04,485,4.82E-06,3.06E-09,-195594.543,-195581.34
3,9072,149,39,-2.12E-01,1.38E-02,7.92E-04,248,5.32E-06,1.53E-06,-197690.403,-197679.406
4,13688,275,73,-1.10E-01,5.58E-04,0.017365,134,6.31E-05,4.08E-08,-196302.088,-196290.878
5,10875,154,40,-2.11E-01,3.68E-03,0.001764,237,1.15E-05,3.38E-07,-195493.874,-195481.817
6,6953,139,36,-2.23E-01,3.94E-04,1.40E-04,264,1.01E-06,5.67E-08,-196601.953,-196586.528
7,4863,91,23,-3.55E-01,1.46E-04,3.51E-05,402,3.85E-07,3.01E-08,-196898.93,-196885.784
8,8722,175,45,-1.79E-01,2.41E-03,9.35E-05,213,5.34E-07,2.77E-07,-198299.375,-198284.204
9,7149,93,24,-3.58E-01,0.1320382,4.07E-04,397,4.37E-06,1.85E-05,-197476.699,-197463.009
10,7980,189,50,-1.56E-01,0.1305061,8.98E-04,196,4.75E-06,1.64E-05,-196643.434,-196629.799
11,7690,137,36,-2.27E-01,7.32E-03,0.002464,270,1.80E-05,9.52E-07,-196755.769,-196741.101
12,16139,437,116,-6.58E-02,7.02E-06,0.0290485,84,6.65E-05,4.35E-10,-196116.775,-196101.723
13,3902,71,18,-4.55E-01,0.0092249,9.73E-05,513,1.37E-06,2.36E-06,-196028.543,-196011.168
14,6552,157,40,-1.96E-01,3.22E-05,1.57E-04,234,1.00E-06,4.91E-09,-197631.67,-197617.993
15,13662,360,96,-7.99E-02,1.14E-04,4.09E-06,103,1.13E-08,8.31E-09,-197417.267,-197405.547
16,7238,151,39,-2.05E-01,4.72E-02,1.28E-04,246,8.49E-07,6.52E-06,-198093.937,-198075.276
17,9303,230,60,-1.29E-01,3.06E-05,0.0381832,160,1.66E-04,3.29E-09,-195936.957,-195920.576
18,3867,63,16,-5.22E-01,7.46E-04,1.58E-05,590,2.50E-07,1.93E-07,-197032.181,-197018.335
19,7427,153,39,-2.06E-01,6.55E-02,4.20E-06,240,2.74E-08,8.82E-06,-195522.595,-195504.387
20,5860,113,29,-2.79E-01,2.32E-02,1.12E-05,324,9.93E-08,3.95E-06,-196171.555,-196155.873
21,9346,148,39,-2.13E-01,3.37E-04,0.0267858,250,1.81E-04,3.61E-08,-196540.947,-196524.869
22,8919,227,60,-1.28E-01,5.10E-02,0.0034868,162,1.54E-05,5.72E-06,-195942.753,-195925.25
23,6835,106,27,-3.10E-01,2.42E-02,4.66E-04,349,4.40E-06,3.54E-06,-197722.934,-197702.322
24,7438,151,39,-2.06E-01,3.83E-04,0.0247283,242,1.64E-04,5.14E-08,-195838.756,-195818.849
25,10534,215,55,-1.46E-01,0.0141864,1.46E-05,171,6.80E-08,1.35E-06,-196899.846,-196884.895
26,4802,82,21,-3.93E-01,0.0063206,0.0063353,444,7.73E-05,1.32E-06,-195532.379,-195516.444
27,4434,83,21,-3.88E-01,2.05E-02,1.72E-04,441,2.07E-06,4.62E-06,-196999.014,-196980.289
28,6345,120,32,-2.52E-01,1.70E-04,0.0054148,309,4.51E-05,2.67E-08,-197093.397,-197077.756
29,13807,234,61,-1.35E-01,2.38E-04,0.0234469,158,1.00E-04,1.73E-08,-196994.565,-196979.398
30,6147,106,27,-3.06E-01,0.0026124,2.97E-05,350,2.80E-07,4.25E-07,-199017.246,-199003.769
31,6457,87,23,-3.69E-01,6.65E-02,5.00E-04,427,5.75E-06,1.03E-05,-198496.024,-198485.667
32,6731,138,35,-2.29E-01,8.57E-04,2.80E-05,266,2.03E-07,1.27E-07,-197617.076,-197607.175
