ITERATION,NVJAM0,NVJAC1,TBOT,GAM,JUMP,MaxEstLhood,MaxObsLhood,,,,
1,9082,282,72,-0.103276,228,-199916.795,-199896.977,,,,
2,8992,280,72,-0.103276,231,-199643.012,-199623.861,,,,
3,8998,279,72,-0.103276,231,-199832.953,-199819.962,,,,
4,9018,278,72,-0.103276,232,-199665.445,-199646.844,,,,
5,9055,280,72,-0.103276,228,-198879.276,-198865.687,,,,
6,8908,278,72,-0.103276,233,-199237.586,-199216.641,,,,
7,8985,277,72,-0.103276,236,-201146.772,-201131.026,,,,
8,8901,276,72,-0.103276,234,-199551.577,-199534.759,,,,
9,9065,286,72,-0.103276,225,-199953.97,-199940.246,,,,
10,9089,290,72,-0.103276,219,-198721.463,-198707.802,,,,
11,8957,273,72,-0.103276,237,-199769.643,-199750.634,,,,
12,9078,277,72,-0.103276,232,-199294.911,-199280.562,,,,
13,8964,283,72,-0.103276,226,-198434.684,-198423.348,,,,
14,9026,283,72,-0.103276,226,-198910.809,-198893.869,,,,
15,8904,284,72,-0.103276,228,-200912.145,-200893.788,,,,
16,8988,282,72,-0.103276,228,-200221.818,-200203.676,,,,
17,9052,284,72,-0.103276,225,-198899.871,-198886.296,,,,
18,8925,279,72,-0.103276,231,-198764.903,-198745.446,,,,
19,9143,275,72,-0.103276,236,-201189.293,-201170.385,,,,
20,8978,287,72,-0.103276,222,-198314.033,-198302.958,,,,
21,8941,277,72,-0.103276,233,-199966.62,-199951.048,,,,
22,9031,273,72,-0.103276,234,-198265.927,-198243.965,,,,
23,8886,280,72,-0.103276,231,-199520.389,-199505.905,,,,
24,9032,273,72,-0.103276,237,-199616.297,-199602.203,,,,
25,9049,278,72,-0.103276,232,-199964.047,-199951.086,,,,
26,8905,280,72,-0.103276,229,-199195.901,-199179.38,,,,
27,8918,282,72,-0.103276,229,-199535.075,-199519.872,,,,
28,8989,277,72,-0.103276,231,-197954.049,-197934.512,,,,
29,8914,275,72,-0.103276,235,-199598.235,-199582.199,,,,
30,9099,277,72,-0.103276,231,-198417.415,-198402.192,,,,
31,9062,281,72,-0.103276,229,-199744.788,-199727.128,,,,
32,9009,279,72,-0.103276,232,-200606.068,-200587.169,,,,
33,8875,283,72,-0.103276,230,-201521.056,-201506.443,,,,
34,8996,278,72,-0.103276,234,-200532.786,-200512.208,,,,
35,9088,281,72,-0.103276,229,-200452.494,-200426.688,,,,
36,8840,285,72,-0.103276,226,-199389.318,-199373.336,,,,
37,8965,274,72,-0.103276,237,-200754.905,-200741.121,,,,
38,9051,278,72,-0.103276,229,-198085.829,-198069.976,,,,
39,9011,275,72,-0.103276,235,-199345.807,-199331.328,,,,
40,8987,279,72,-0.103276,228,-198263.758,-198244.658,,,,
41,8987,273,72,-0.103276,234,-198206.959,-198194.116,,,,
42,8878,278,72,-0.103276,232,-199536.783,-199520.852,,,,
43,9072,273,72,-0.103276,237,-200779.029,-200765.238,,,,
44,8972,268,72,-0.103276,243,-200349.617,-200334.077,,,,
45,9118,275,72,-0.103276,234,-200410.395,-200395.469,,,,
46,9084,280,72,-0.103276,229,-199790.153,-199774.471,,,,
47,9052,277,72,-0.103276,233,-199677.83,-199664.444,,,,
48,8989,274,72,-0.103276,239,-202344.484,-202329.398,,,,
49,9075,278,72,-0.103276,232,-200088.951,-200075.202,,,,
50,9029,280,72,-0.103276,230,-199580.94,-199561.24,,,,
51,8568,282,72,-0.102243,225,-198712.18,-198689.654,,,,
52,8959,282,72,-0.103276,229,-200591.271,-200575.155,,,,
53,9041,283,72,-0.103276,226,-199113.998,-199098.875,,,,
54,8901,275,72,-0.103276,235,-198891.9,-198880.264,,,,
55,8985,282,72,-0.103276,229,-200018.222,-200004.86,,,,
56,8836,281,72,-0.103276,227,-197782.015,-197766.951,,,,
57,9104,277,72,-0.103276,231,-199003.044,-198983.237,,,,
58,9007,285,72,-0.103276,226,-199154.668,-199133.984,,,,
59,9100,276,72,-0.103276,232,-199133.281,-199120.484,,,,
60,9019,280,72,-0.103276,229,-199007.897,-198987.294,,,,
61,9001,278,72,-0.103276,232,-199899.664,-199878.761,,,,
62,9008,279,72,-1.03E-01,230,-199437.962,-199421.36,,,,
63,9033,276,72,-0.103276,231,-198536.747,-198517.461,,,,
64,8991,277,72,-1.03E-01,233,-2.00E+05,-200124.37,,,,
65,9053,277,72,-1.03E-01,234,-200458.015,-200442.982,,,,
66,8995,284,72,-1.03E-01,226,-2.00E+05,-199809.132,,,,
67,9107,264,72,-1.03E-01,246,-2.00E+05,-199730.94,,,,
68,8957,282,72,-1.03E-01,229,-200050.312,-200033.898,,,,
69,8820,274,72,-1.03E-01,236,-2.00E+05,-199826.388,,,,
70,8830,280,72,-1.03E-01,230,-1.99E+05,-199188.237,,,,
71,9015,283,72,-1.03E-01,227,-199347.597,-199334.52,,,,
72,8964,279,72,-1.03E-01,230,-199276.24,-199258.33,,,,
73,9101,282,72,-1.03E-01,229,-2.01E+05,-200822.681,,,,
74,9030,275,72,-1.03E-01,233,-1.99E+05,-199219.996,,,,
75,8833,285,72,-1.03E-01,225,-199007.707,-198993.511,,,,
76,9015,280,72,-1.03E-01,229,-1.99E+05,-199331.531,,,,
77,9081,282,72,-1.03E-01,229,-2.00E+05,-200393.899,,,,
78,9078,277,72,-1.03E-01,231,-198729.045,-198712.969,,,,
79,8993,272,72,-1.03E-01,237,-1.99E+05,-199167.724,,,,
80,8971,279,72,-1.03E-01,228,-1.99E+05,-198794.821,,,,
