ITERATION,NVJAM0,NVJAC1,TBOT,GAM,N0M1,N1M0,JUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
1,8859,148,41,-1.99E-01,3.61E-04,0.0582035,253,3.93E-04,4.08E-08,-196961.611,-196947.504
2,8890,153,41,-1.99E-01,3.75E-04,0.0311062,239,2.03E-04,4.22E-08,-195593.557,-195581.34
3,8814,154,41,-1.99E-01,4.38E-02,6.49E-04,240,4.21E-06,4.97E-06,-197689.306,-197679.406
4,8774,158,41,-1.99E-01,3.51E-02,1.58E-04,232,9.98E-07,4.00E-06,-196301.689,-196290.878
5,8881,158,41,-1.99E-01,2.98E-04,4.40E-04,231,2.78E-06,3.36E-08,-195493.557,-195481.817
6,8845,158,41,-1.99E-01,5.78E-04,8.12E-05,233,5.14E-07,6.53E-08,-196601.253,-196586.528
7,8724,164,41,-1.99E-01,2.87E-03,2.55E-04,224,1.56E-06,3.29E-07,-196898.435,-196885.784
8,8683,159,41,-1.99E-01,7.53E-02,0.0036906,234,2.32E-05,8.67E-06,-198298.998,-198284.204
9,8791,160,41,-1.99E-01,3.08E-05,0.0032538,231,2.03E-05,3.51E-09,-197476.09,-197463.009
10,8716,156,41,-1.99E-01,0.1718725,0.0055891,236,3.58E-05,1.97E-05,-196644.313,-196629.799
11,8794,156,41,-1.99E-01,1.82E-03,2.69E-05,237,1.72E-07,2.07E-07,-196755.077,-196741.101
12,8820,155,41,-1.99E-01,5.64E-04,0.017999,237,1.16E-04,6.40E-08,-196117.639,-196101.723
13,8727,161,41,-1.99E-01,7.78E-04,1.43E-04,228,8.88E-07,8.92E-08,-196028.243,-196011.168
14,8818,160,41,-1.99E-01,5.16E-04,9.27E-04,230,5.79E-06,5.85E-08,-197632.163,-197617.993
15,8801,155,41,-1.99E-01,1.80E-03,7.09E-04,240,4.57E-06,2.04E-07,-197417.57,-197405.547
16,8809,159,41,-1.99E-01,3.24E-05,1.03E-04,233,6.49E-07,3.68E-09,-198094.592,-198075.276
17,8774,153,41,-1.99E-01,5.60E-05,0.0540367,242,3.53E-04,6.38E-09,-195933.486,-195920.576
18,8611,162,41,-1.99E-01,1.69E-04,2.17E-05,228,1.34E-07,1.97E-08,-197031.477,-197018.335
19,8747,156,41,-1.99E-01,4.46E-04,0.0314412,236,2.02E-04,5.10E-08,-195521.169,-195504.387
20,8854,154,41,-1.99E-01,2.33E-02,0.044987,239,2.92E-04,2.63E-06,-196170.326,-196155.873
21,8806,160,41,-1.99E-01,3.71E-03,0.0190486,230,1.19E-04,4.22E-07,-196540.382,-196524.869
22,8832,158,41,-1.99E-01,2.53E-02,1.05E-04,229,6.65E-07,2.86E-06,-195939.259,-195925.25
23,8850,161,41,-1.99E-01,6.55E-03,5.27E-04,229,3.27E-06,7.41E-07,-197721.403,-197702.322
24,8809,155,41,-1.99E-01,1.16E-03,0.0315399,236,2.03E-04,1.32E-07,-195837.73,-195818.849
25,8718,157,41,-1.99E-01,1.31E-04,0.0156868,236,9.99E-05,1.51E-08,-196898.957,-196884.895
26,8723,159,41,-1.99E-01,0.0562656,0.0203493,230,1.28E-04,6.45E-06,-195530.995,-195516.444
27,8868,158,41,-1.99E-01,2.06E-03,0.0344581,232,2.18E-04,2.33E-07,-196998.464,-196980.289
28,8853,155,41,-1.99E-01,4.49E-03,2.34E-05,239,1.51E-07,5.07E-07,-197092.671,-197077.756
29,8786,160,41,-1.99E-01,0.002151,0.0067885,230,4.24E-05,2.45E-07,-196993.614,-196979.398
30,8858,158,41,-1.99E-01,8.70E-05,8.92E-04,236,5.65E-06,9.82E-09,-199016.396,-199003.769
31,8900,157,41,-1.99E-01,8.72E-02,7.05E-06,236,4.49E-08,9.80E-06,-198496.725,-198485.667
32,8845,161,41,-1.99E-01,1.04E-03,3.67E-05,228,2.28E-07,1.17E-07,-197615.735,-197607.175
33,8870,156,41,-1.99E-01,1.86E-01,0.0454094,238,2.91E-04,2.10E-05,-198065.797,-198050.465
34,8808,158,41,-1.99E-01,1.30E-01,3.38E-04,233,2.14E-06,1.48E-05,-197726.441,-197709.158
35,8825,157,41,-1.99E-01,0.0040231,0.0226029,234,1.44E-04,4.56E-07,-196677.814,-196666.734
36,8826,161,41,-1.99E-01,3.84E-02,4.30E-05,228,2.67E-07,4.35E-06,-197164.135,-197147.398
37,8845,152,41,-1.99E-01,6.03E-04,0.0247955,244,1.63E-04,6.82E-08,-196592.066,-196579.664
38,8725,162,41,-1.99E-01,0.0129552,2.54E-05,228,1.57E-07,1.48E-06,-197173.87,-197157.311
39,8853,162,41,-1.99E-01,3.53E-03,0.0202741,228,1.25E-04,3.99E-07,-197540.359,-197527.211
40,8899,155,41,-1.99E-01,3.12E-03,1.51E-04,240,9.74E-07,3.50E-07,-198586.802,-198574.505
41,8741,153,41,-1.99E-01,0.0014007,0.0246192,242,1.61E-04,1.60E-07,-196265.53,-196252.947
42,8801,156,41,-1.99E-01,7.70E-05,0.036612,239,2.35E-04,8.74E-09,-197535.922,-197524.808
43,8691,156,41,-1.99E-01,2.67E-05,0.0172029,240,1.10E-04,3.07E-09,-198445.415,-198424.768
44,8893,162,41,-1.99E-01,7.38E-05,5.12E-04,227,3.16E-06,8.30E-09,-197332.277,-197318.203
45,8539,161,41,-1.99E-01,1.96E-01,8.10E-05,228,5.03E-07,2.30E-05,-196472.81,-196453.105
46,8841,159,41,-1.99E-01,4.58E-02,8.73E-05,234,5.49E-07,5.18E-06,-199272.734,-199255.9
47,8796,153,41,-1.99E-01,9.16E-02,0.0049388,241,3.23E-05,1.04E-05,-196402.425,-196390.654
48,8972,159,41,-1.99E-01,4.82E-02,0.0050182,231,3.16E-05,5.37E-06,-196912.172,-196899.528
49,8811,158,41,-1.99E-01,8.03E-02,0.0313333,235,1.98E-04,9.11E-06,-197625.633,-197613.603
50,8798,155,41,-1.99E-01,4.17E-03,0.0297152,239,1.92E-04,4.74E-07,-196846.564,-196831.976
51,8720,159,41,-1.99E-01,2.92E-04,3.50E-04,235,2.20E-06,3.35E-08,-198859.719,-198848.613
52,8741,160,41,-1.99E-01,3.66E-02,1.33E-04,229,8.29E-07,4.19E-06,-195561.487,-195540.867
53,8583,163,41,-1.99E-01,1.15E-04,0.0026126,224,1.60E-05,1.34E-08,-195646.871,-195634.045
54,8738,162,41,-1.99E-01,4.04E-04,0.0014876,224,9.18E-06,4.63E-08,-196105.241,-196093.082
55,8869,156,41,-1.99E-01,0.0049116,3.76E-04,236,2.41E-06,5.54E-07,-196646.365,-196631.155
56,8879,158,41,-1.99E-01,0.0040655,7.04E-04,233,4.45E-06,4.58E-07,-197669.242,-197657.416
57,8842,157,41,-1.99E-01,0.0067619,1.95E-04,234,1.24E-06,7.65E-07,-197226.308,-197214.046
58,8915,160,41,-1.99E-01,0.0512474,2.14E-04,230,1.34E-06,5.75E-06,-197553.802,-197536.287
