ITERATION,NVDAM0,NVDAC1,TBOT,GAM,N0M1,N1M0,JUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
1,699,524,1023,-2.04E-03,4.91E-06,0.7554822,140,0.0014418,7.03E-09,-181919.773,-181860.451
2,538,397,692,-3.22E-03,3.67E-06,0.7662153,169,0.00193,6.83E-09,-182700.202,-182636.969
3,581,370,649,-4.04E-03,5.99E-03,0.7467545,185,0.0020183,1.03E-05,-182105.678,-182046.875
4,628,485,877,-2.48E-03,1.02E-03,0.7717255,146,0.0015912,1.63E-06,-183685.865,-183625.709
5,645,482,867,-2.56E-03,1.21E-04,0.7526753,142,0.0015616,1.88E-07,-181143.699,-181092.583
6,728,532,1080,-1.93E-03,5.76E-05,0.7546542,144,0.0014185,7.91E-08,-180136.298,-180085.101
7,639,436,895,-2.47E-03,1.04E-04,0.7618848,188,0.0017474,1.62E-07,-183569.187,-183501.141
8,743,528,1005,-2.25E-03,3.69E-04,0.7677152,140,0.001454,4.97E-07,-183416.214,-183352.73
9,415,348,570,-3.53E-03,7.64E-05,0.7878583,178,0.002264,1.84E-07,-181652.956,-181602.567
10,653,495,942,-2.24E-03,5.50E-05,0.7651054,147,0.0015457,8.42E-08,-181598.587,-181538.572
11,604,408,806,-2.82E-03,6.59E-04,0.7635575,188,0.0018715,1.09E-06,-182162.154,-182107.813
12,458,376,561,-4.01E-03,7.13E-05,0.7423907,151,0.0019744,1.56E-07,-181863.029,-181807.998
13,641,441,721,-3.49E-03,6.06E-04,0.7511952,143,0.0017034,9.46E-07,-182574.541,-182515.616
14,358,280,381,-6.41E-03,3.90E-05,0.7600774,187,0.0027146,1.09E-07,-180151.697,-180083.419
15,363,307,460,-4.62E-03,6.21E-04,0.7590222,186,0.0024724,1.71E-06,-183300.574,-183241.833
16,588,422,755,-3.10E-03,1.39E-04,0.7600228,164,0.001801,2.36E-07,-181974.761,-181926.86
17,606,433,813,-2.78E-03,2.21E-04,0.7597371,168,0.0017546,3.64E-07,-181397.254,-181343.462
18,695,494,981,-2.23E-03,2.38E-04,0.7784622,159,0.0015758,3.43E-07,-182717.066,-182653.542
19,469,377,585,-3.75E-03,1.18E-04,0.7626433,155,0.0020229,2.51E-07,-180376.245,-180313.272
20,431,400,488,-4.56E-03,1.08E-04,0.751523,119,0.0018788,2.51E-07,-182924.564,-182863.908
21,638,447,802,-2.93E-03,9.08E-05,0.7594052,154,0.0016989,1.42E-07,-182631.734,-182578.776
22,629,414,917,-2.40E-03,9.69E-05,0.7607107,216,0.0018375,1.54E-07,-182536.025,-182479.766
23,547,411,645,-3.69E-03,8.56E-06,0.7570363,147,0.0018419,1.57E-08,-182037.047,-181972.992
24,616,462,818,-2.71E-03,2.34E-04,0.761164,145,0.0016475,3.79E-07,-181765.862,-181713.458
25,585,381,664,-3.80E-03,3.34E-04,0.7599919,175,0.0019947,5.70E-07,-181504.318,-181453.106
26,436,369,569,-3.66E-03,8.38E-05,0.7716987,158,0.0020913,1.92E-07,-182859.005,-182798.87
27,455,386,595,-3.53E-03,3.57E-04,0.7688568,154,0.0019919,7.84E-07,-183520.792,-183453.384
28,641,497,964,-2.02E-03,9.61E-05,0.7707782,145,0.0015509,1.50E-07,-180898.751,-180844.889
29,642,461,940,-2.31E-03,1.90E-04,0.7709087,172,0.0016723,2.96E-07,-179720.184,-179665.708
30,614,395,726,-3.43E-03,9.58E-05,0.7496607,183,0.0018979,1.56E-07,-183101.43,-183044.273
31,525,370,606,-4.01E-03,1.86E-04,0.7445207,172,0.0020122,3.55E-07,-182351.813,-182287.033
