ITERATION,NVDAM0,NVDAC1,TBOT,GAM,N0M1,N1M0,JUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
1,462,241,513,-5.37E-03,3.28E-05,0.7608707,373,0.0031571,7.09E-08,-181916.021,-181860.451
2,441,235,488,-5.59E-03,1.46E-05,0.7556979,368,0.0032157,3.31E-08,-182696.412,-182636.969
3,446,233,489,-5.59E-03,7.55E-05,0.7499311,372,0.0032186,1.69E-07,-182102.049,-182046.875
4,444,236,506,-5.45E-03,5.14E-05,0.7656879,393,0.0032444,1.16E-07,-183681.274,-183625.709
5,427,239,487,-5.47E-03,1.60E-03,0.7480925,349,0.0031301,3.74E-06,-181145.406,-181092.583
6,424,228,478,-5.64E-03,9.19E-05,0.757542,378,0.0033226,2.17E-07,-180132.566,-180085.101
7,423,230,478,-5.59E-03,1.28E-04,0.7593427,381,0.0033015,3.03E-07,-183565.399,-183501.141
8,478,234,492,-5.90E-03,1.77E-04,0.7588635,381,0.003243,3.71E-07,-183413.636,-183352.73
9,418,229,487,-5.43E-03,4.94E-06,0.7706012,391,0.0033651,1.18E-08,-181649.981,-181602.567
10,433,243,494,-5.40E-03,1.87E-04,0.7739263,350,0.0031849,4.33E-07,-181595.346,-181538.572
11,435,233,487,-5.53E-03,2.29E-05,0.7576666,374,0.0032518,5.27E-08,-182160.949,-182107.813
12,421,238,494,-5.35E-03,1.54E-04,0.7512699,360,0.0031566,3.66E-07,-181858.094,-181807.998
13,475,227,478,-6.26E-03,0.0022966,0.7481521,393,0.0032958,4.83E-06,-182568.546,-182515.616
14,443,234,487,-5.67E-03,3.53E-04,0.7577742,367,0.0032384,7.97E-07,-180142.221,-180083.419
15,431,235,491,-5.45E-03,7.81E-05,0.7569771,369,0.0032212,1.81E-07,-183296.506,-183241.833
16,448,258,515,-5.15E-03,8.95E-04,0.7569172,317,0.0029338,2.00E-06,-181970.815,-181926.86
17,430,244,492,-5.64E-03,8.25E-03,0.757405,348,0.0031041,1.92E-05,-181393.804,-181343.462
18,501,237,494,-6.06E-03,9.59E-06,0.7610513,382,0.0032112,1.91E-08,-182711.975,-182653.542
19,476,237,501,-5.68E-03,6.89E-05,0.749243,368,0.0031614,1.45E-07,-180370.549,-180313.272
20,440,240,483,-5.64E-03,8.93E-04,0.7598311,348,0.003166,2.03E-06,-182920.286,-182863.908
21,502,255,490,-5.96E-03,2.44E-05,0.758867,312,0.0029759,4.86E-08,-182627.835,-182578.776
22,438,248,471,-5.77E-03,1.43E-04,0.7633955,316,0.0030782,3.26E-07,-182532.762,-182479.766
23,432,229,479,-5.83E-03,4.61E-04,0.7624862,387,0.0033296,1.07E-06,-182031.314,-181972.992
24,452,230,496,-5.72E-03,3.87E-04,0.768717,406,0.0033422,8.57E-07,-181761.557,-181713.458
25,459,227,486,-5.88E-03,6.16E-06,0.7633969,399,0.003363,1.34E-08,-181502.739,-181453.106
26,434,234,499,-5.33E-03,8.33E-05,0.7711401,385,0.0032955,1.92E-07,-182856.074,-182798.87
27,421,231,479,-5.59E-03,4.98E-04,0.7596276,379,0.0032884,1.18E-06,-183514.873,-183453.384
28,430,237,493,-5.37E-03,3.83E-04,0.7596874,360,0.0032054,8.90E-07,-180898.162,-180844.889
29,436,231,488,-5.64E-03,3.17E-04,0.7637949,383,0.0033065,7.28E-07,-179713.123,-179665.708
30,436,234,495,-5.52E-03,0.001112,0.7598495,386,0.0032472,2.55E-06,-183095.74,-183044.273
31,432,230,485,-5.59E-03,8.12E-04,0.7456209,376,0.0032418,1.88E-06,-182347.905,-182287.033
32,465,235,498,-5.72E-03,3.06E-04,0.7762332,390,0.0033031,6.58E-07,-181428.369,-181368.837
33,450,235,500,-5.53E-03,1.67E-04,0.7597066,387,0.0032328,3.71E-07,-181828.252,-181783.473
34,445,230,498,-5.63E-03,3.19E-04,0.7660867,402,0.0033308,7.17E-07,-180509.59,-180455.917
35,478,244,508,-5.54E-03,6.35E-05,0.7495205,355,0.0030718,1.33E-07,-181824.809,-181763.644
36,457,236,501,-5.68E-03,4.12E-03,0.7545946,385,0.0031974,9.01E-06,-181625.808,-181573.666
37,506,262,525,-5.28E-03,3.73E-04,0.7527356,309,0.002873,7.38E-07,-182436.833,-182379.943
38,431,230,485,-5.65E-03,9.85E-04,0.7567862,391,0.0032904,2.29E-06,-183433.627,-183372.71
39,456,240,491,-5.68E-03,2.32E-05,0.7676108,356,0.0031984,5.08E-08,-182508.292,-182449.669
40,429,233,479,-5.70E-03,1.36E-04,0.7683909,372,0.0032978,3.17E-07,-182287.641,-182240.067
41,490,239,520,-5.56E-03,8.65E-04,0.7480403,390,0.0031299,1.77E-06,-182378.812,-182326.18
42,438,240,496,-5.54E-03,8.89E-05,0.7781233,368,0.0032422,2.03E-07,-179928.509,-179878.952
43,439,233,491,-5.56E-03,8.48E-05,0.7502413,377,0.0032199,1.93E-07,-182115.984,-182063.204
44,443,232,478,-5.86E-03,8.76E-05,0.7598401,373,0.0032752,1.98E-07,-181149.083,-181094.662
45,424,229,483,-5.59E-03,3.61E-04,0.7596276,383,0.0033172,8.51E-07,-180557.104,-180502.457
46,509,256,552,-5.18E-03,8.81E-05,0.7728242,363,0.0030188,1.73E-07,-180394.173,-180339.871
47,497,244,506,-5.83E-03,7.00E-05,0.7561161,363,0.0030988,1.41E-07,-181983.403,-181931.14
48,427,231,474,-5.81E-03,5.87E-04,0.7623668,372,0.0033003,1.38E-06,-181339.323,-181299.293
49,435,239,505,-5.29E-03,1.18E-04,0.7549187,374,0.0031587,2.71E-07,-182891.863,-182841.135
50,461,250,504,-5.40E-03,2.24E-04,0.764028,337,0.0030561,4.85E-07,-182841.298,-182789.445
51,443,261,531,-4.98E-03,2.90E-03,0.7678086,326,0.0029418,6.55E-06,-181437.066,-181392.558
52,494,240,519,-5.63E-03,2.91E-04,0.7564124,395,0.0031517,5.89E-07,-183118.092,-183063.404
53,432,235,482,-5.64E-03,1.30E-05,0.7668578,366,0.0032632,3.02E-08,-181934.263,-181881.043
54,458,228,502,-5.67E-03,1.77E-04,0.7539939,417,0.003307,3.86E-07,-181854.26,-181793.828
55,446,229,497,-5.70E-03,1.64E-04,0.7641595,411,0.0033369,3.68E-07,-180990.252,-180940.971
56,457,253,526,-5.08E-03,2.21E-05,0.7589712,342,0.0029999,4.83E-08,-181997.685,-181939.48
57,433,229,483,-5.69E-03,4.10E-04,0.753818,383,0.0032918,9.46E-07,-181864.003,-181808.06
58,428,254,494,-5.28E-03,3.32E-04,0.7556832,310,0.0029751,7.77E-07,-182149.084,-182089.993
59,424,229,479,-5.70E-03,4.24E-05,0.7596276,383,0.0033172,1.00E-07,-181307.488,-181258.196
60,451,235,501,-5.50E-03,0.0015768,0.7515266,384,0.003198,3.50E-06,-182602.857,-182547.887
61,437,237,506,-5.29E-03,6.09E-05,0.7501759,374,0.0031653,1.39E-07,-181850.943,-181794.174
62,443,230,490,-5.73E-03,1.66E-04,0.7552713,386,0.0032838,3.74E-07,-180194.612,-180146.31
63,445,233,481,-5.77E-03,3.99E-04,0.7674025,374,0.0032936,8.96E-07,-180436.126,-180390.083
64,442,241,501,-5.36E-03,1.30E-04,0.7435343,353,0.0030852,2.93E-07,-181854.295,-181796.394
65,420,241,492,-5.35E-03,2.39E-05,0.7586449,348,0.0031479,5.70E-08,-180250.108,-180190.823
66,423,229,479,-5.64E-03,1.71E-04,0.7634023,383,0.0033336,4.03E-07,-181884.799,-181840.106
