ID,SEQ_ID,Species,Host_collected,Location,Country,Date,Site,Approximate.X,Approximate.Y,COI_haplogroup,Haplotype,Host_read,reads_cerana,reads_mellifera,Mean_Read_Depth,Total_reads,Mapped,Mapping_rate,Mapped_in_pair,Platform
V212,VD212,V. destructor,A. cerana,"Gwangju, Jeonlabug Province",South Korea,01/1996,KOR02,35.15954,126.8526,VD Korea K1,VD Korea K1-1/K1-2,cerana,56,0,16.6,66272622,41762260,63,38388417,HiSeq 4000
V642_1,VD642_1,V. destructor,A. cerana,"Zhuhai county, Guangdong Province",China,11/2001,CHN08,22.61401,112.63183,VD China C1,VD China C1-3,cerana,2857,7,47.1,119107269,116682672,98,112230978,HiSeq 4000
V657_1,VD657_1,V. destructor,A. cerana,"Zhongshan, Guangdong Province",China,04/2002,CHN10,23.94609,114.69726,VD China C1,VD China C1-3,cerana,46,38,21.5,54511467,53363635,97.9,49849866,HiSeq 4000
V651_1,VD651_1,V. destructor,A. cerana,"Dayao county, Yunnan Province",China,04/2002,CHN05,25.72951,101.33661,VD China C3,VD China C3-2,cerana,167,6,28.2,71261265,69804599,98,66308649,HiSeq 4000
V577_1,VD577_1,V. destructor,A. cerana,"Yunnan Agricultural University, Kunming, Yunnan Province",China,05/2002,CHN06,25.12565,102.74318,VD China C4,VD China C4-2,cerana,125,4,35,91721740,89577965,97.7,85757545,HiSeq 4000
V654_1,VD654_1,V. destructor,A. cerana,"Xishuangbanna, Yunnan Province",China,04/2002,CHN07,22.00881,100.79714,VD Viet Nam V1,VD Viet Nam V1-5,cerana,626,0,25.1,63453379,62161106,98,58776768,HiSeq 4000
V658_2,VD658_2,V. destructor,A. cerana,"Xishuangbanna, Yunnan Province",China,04/2002,CHN07,22.00881,100.79714,VD Viet Nam V1,VD Viet Nam V1-6,cerana,2693,8,15,44339428,38654491,87.2,35187264,HiSeq 4000
V676_2,VD676_2,V. destructor,A. cerana,Chiang Mai University,Thailand,01/2003,THA01,18.80596,98.95336,VD Viet Nam V1,VD Viet Nam V1-7,cerana,366,10,5.9,29358273,19254785,65.6,17719549,HiSeq 4000
V149,VD149,V. destructor,A. cerana,"Phjong, Ninh Binh Province",Viet Nam,10/1996,VNM01,21.18197,106.00161,VD Viet Nam V1,VD Viet Nam V1-8,cerana,1773,76,10.7,46623619,29994005,64.3,26399304,HiSeq 4000
V475_1,VD475_1,V. destructor,A. cerana,Hoc Chau,Viet Nam,11/1998,VNM02,20.92208,104.75209,VD Korea K1,VD Korea K1-1/K1-2,mellifera,6,555,19.3,50827244,48381793,95.2,44842843,HiSeq 4000
V153_2,VD153_2,V. destructor,A. mellifera,Jungup,South Korea,10/1996,KOR01,35.56988,126.85589,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,5824,22.2,56113114,55021332,98.1,51939126,HiSeq 4000
V159_1,VD159_1,V. destructor,A. mellifera,Jungup,South Korea,10/1996,KOR01,35.56988,126.85589,VD Korea K1,VD Korea K1-1/K1-2,mellifera,14,5707,24.2,64315412,60528716,94.1,55776173,HiSeq 4000
V639_1,VD639_1,V. destructor,A. mellifera,Heilongjiang Province,China,09/2001,CHN01,46.61716,131.15727,VD Korea K1,VD Korea K1-1/K1-2,mellifera,20,1096,17.2,45259621,43071591,95.2,39536470,HiSeq 4000
V625_2,VD625_2,V. destructor,A. mellifera,"Fengman, Lishu Co., Changchun, Jilin Province",China,05/2001,CHN02,43.8216,126.56227,VD Korea K1,VD Korea K1-1/K1-2,mellifera,2,217,16.6,46030858,41845105,90.9,37822659,HiSeq 4000
V622_1,VD622_1,V. destructor,A. mellifera,"Apiary of Jinzhong, Yuci, Shanxi Province",China,06/2001,CHN03,37.69779,112.70822,VD Korea K1,VD Korea K1-1/K1-2,mellifera,0,1243,13.8,39024603,35070629,89.9,31675460,HiSeq 4000
V641_1,VD641_1,V. destructor,A. mellifera,"Mianzhu County, Sichuan Province",China,09/2001,CHN04,31.33807,104.22074,VD Korea K1,VD Korea K1-7,mellifera,6,871,21,54493356,52402973,96.2,48743391,HiSeq 4000
V646_1,VD646_1,V. destructor,A. mellifera,"Zhongshan, Guangdong Province",China,11/2001,CHN09,23.92799,113.15883,VD Korea K1,VD Korea K1-7,mellifera,4,322,25.8,66768826,64203224,96.2,59914828,HiSeq 4000
V150_2,VD150_2,V. destructor,A. mellifera,Nho Quan,Viet Nam,10/1996,VNM03,20.32263,105.7496,VD Korea K1,VD Korea K1-1/K1-2,mellifera,26,218,33.2,86978010,84333771,97,80000889,HiSeq 4000
V474_1,VD474_1,V. destructor,A. mellifera,Hoc Chau,Viet Nam,01/1998,VNM02,20.92208,104.75209,VD Korea K1,VD Korea K1-1/K1-2,mellifera,52,648,24.8,63242091,61585346,97.4,58056817,HiSeq 4000
V028,VJ028,V. jacobsoni,A. cerana,"UPM, Serdang, Kuala Lumpur",Malaysia,03/1995,MYS01,2.98789,101.73517,VJ Malaysia 2,VJ Malaysia 2-1,cerana,168,66,50.4,131769709,125151456,95,120488777,HiSeq 4000
V780,VJ780,V. jacobsoni,A. cerana,"Chauthanh Village, Bentra District",Viet Nam,03/2003,VNM06,10.30483,106.3552,VJ Laos L1,VJ Laos L1-3,cerana,40372,4,15.6,47957642,38953995,81.2,36880992,HiSeq 4000
V787_2,VJ787_2,V. jacobsoni,A. cerana,"Rach Gia Town, Kien Giang",Viet Nam,08/2004,VNM04,10.0215,105.09109,VJ Laos L1,VJ Laos L1-4,cerana,2325,28,29.6,78330554,75988942,97,72622136,HiSeq 4000
V788_1 (replicate discarded),VJ788_1,V. jacobsoni,A. cerana,"My tho City, Kien Giang",Viet Nam,08/2004,VNM05,10.37652,106.34388,VJ Laos L1,VJ Laos L1-4,cerana,1291,2,7,43611088,19916649,45.7,18505755,HiSeq 4000
V788_2,VJ788_2,V. jacobsoni,A. cerana,"My tho City, Kien Giang",Viet Nam,08/2004,VNM05,10.37652,106.34388,VJ Laos L1,VJ Laos L1-4,cerana,72,2,10.8,30299193,27206968,89.8,25941038,HiSeq 4000
