MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-536944.228,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537023.801,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537095.585,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537157.247,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537190.848,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537209.906,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537217.447,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537245.658,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537277.269,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537314.399,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537314.472,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537366.44,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537379.202,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537388.902,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537397.053,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537397.719,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537398.069,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537409.025,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537415.458,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537422.975,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537427.466,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537429.968,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537436.353,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537436.704,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537448.841,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537449.787,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537450.329,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537450.631,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537451.076,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537453.58,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537456.41,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537464.956,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537466.086,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537467.435,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537470.986,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537471.49,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537474.801,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537475.383,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537480.149,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537483.244,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537484.41,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537485.542,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537485.843,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537486.163,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537492.859,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537497.026,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537514.681,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537517.66,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537522.17,-485963.851,01_div_nobot,,,,,,,,,,,,,
-537531.924,-485963.851,01_div_nobot,,,,,,,,,,,,,
-523928.49,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-523971.98,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524047.569,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524050.832,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524073.535,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524086.158,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524147.453,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524158.482,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524158.618,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524167.785,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524169.709,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524250.713,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524331.501,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524363.588,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524370.864,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524391.345,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524397.913,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524409.387,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524590.974,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524599.018,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524600.053,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524633.781,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524642.562,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524645.041,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524649.163,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524649.749,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524650.95,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524655.988,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524658.366,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524666.241,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524670.853,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524672.041,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524675.78,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524681.296,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524684.146,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524685.011,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524685.197,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524685.241,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524693.877,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524694.662,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524695.638,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524697.318,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524700.5,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524700.739,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524707.153,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524707.702,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524720.454,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524722.987,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524725.662,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-524728.085,-485963.851,02_mig_nobot,,,,,,,,,,,,,
-533575.025,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533677.284,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533703.86,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533717.593,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533771.762,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533829.647,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533938.839,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-533966.004,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534005.206,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534227.678,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534235.756,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534248.024,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534261.181,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534319.841,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534323.702,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534328.912,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534338.49,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534363.346,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534425.22,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534435.784,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534483.474,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534521.421,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534532.588,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534541.792,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534551.388,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534559.313,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534595.841,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534655.537,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534713.294,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534895.159,-485963.851,13_div_botgwt,,,,,,,,,,,,,
-534901.323,-485963.851,13_div_botgwt,,,,,,,,,,,,,
