MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-226784.107,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226786.678,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226788.014,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226788.878,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226789.054,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226789.973,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226791.529,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226792.868,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226793.059,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226793.059,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226793.63,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226794.333,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226794.412,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226794.654,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226795.691,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226796.425,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226796.442,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226796.614,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226796.959,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226797.463,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226797.507,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226797.845,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226798.393,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226798.4,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226798.666,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226798.678,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226798.874,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226799.627,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226799.808,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226800.146,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226800.268,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226800.368,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226801.495,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226801.746,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226801.755,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226801.761,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226801.837,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226802.379,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226802.629,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226803.464,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226803.488,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226803.58,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226803.797,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226804.215,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226804.424,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226804.502,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226805.372,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226805.711,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226805.94,-216053.662,01_div_nobot,,,,,,,,,,,,,
-226805.993,-216053.662,01_div_nobot,,,,,,,,,,,,,
-225487.229,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225490.529,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225492.016,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225559.281,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225567.021,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225567.533,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225570.188,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225587.909,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225591.016,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225591.812,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225596.434,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225597.91,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225600.808,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225601.112,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225605.086,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225607.58,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225615.089,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225615.829,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225620.17,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225645.217,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225652.43,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225653.591,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225654.671,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225656.149,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225661.415,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225662.428,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225662.811,-216053.662,02_mig_nobot,,,,,,,,,,,,,
-225667.572,-216053.662,02_mig_nobot,,,,,,,,,,,,,
