NVAM0,NVAC1,NBOTAM,TBOTEND,TJUMP,GAM,N0M1,N1M0,ResBOT,ResJUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
27312,19010,188,677,856,-0.00163,4.070,5.320,0.00688,101,0.00028,0.00015,-518347,-518104
33649,19015,184,814,986,-0.00139,4.160,4.660,0.00547,103,0.00024,0.00012,-520817,-520610
31273,20549,218,737,985,-0.00128,4.230,5.450,0.00697,94,0.00026,0.00014,-519002,-518767
35781,11275,64,676,709,-0.00255,5.240,3.460,0.00179,176,0.00031,0.00015,-517300,-517173
34571,17081,148,828,980,-0.00126,4.190,4.340,0.00428,115,0.00025,0.00012,-517225,-517069
28013,18641,181,685,861,-0.00160,4.090,5.070,0.00646,103,0.00027,0.00015,-520481,-520250
30919,21322,236,730,988,-0.00134,4.260,5.540,0.00763,90,0.00026,0.00014,-518462,-518240
29071,16521,140,716,862,-0.00143,4.050,4.760,0.00482,118,0.00029,0.00014,-519684,-519479
30067,15866,130,692,849,-0.00129,4.390,4.690,0.00432,122,0.00030,0.00015,-517075,-516888
24259,15961,132,601,762,-0.00145,4.070,5.070,0.00544,121,0.00032,0.00017,-517485,-517276
48126,12647,79,896,932,-0.00205,5.320,3.250,0.00164,160,0.00026,0.00011,-516733,-516585
34378,15841,127,828,984,-0.00104,4.160,4.030,0.00369,125,0.00025,0.00012,-516777,-516627
28822,15631,126,624,829,-0.00094,4.650,4.830,0.00437,124,0.00031,0.00016,-518326,-518157
29165,18591,181,690,858,-0.00165,4.230,4.980,0.00621,103,0.00027,0.00015,-516434,-516188
33465,13105,87,736,793,-0.00206,4.560,3.660,0.00260,151,0.00028,0.00014,-516775,-516633
30422,16613,144,734,853,-0.00173,4.200,4.550,0.00473,115,0.00027,0.00014,-515739,-515535
33260,21159,236,782,987,-0.00155,4.230,5.090,0.00710,90,0.00024,0.00013,-516954,-516750
36534,22083,257,840,982,-0.00196,4.430,5.040,0.00703,86,0.00023,0.00012,-517479,-517239
31559,19601,198,802,981,-0.00147,4.030,4.870,0.00627,99,0.00025,0.00013,-519012,-518804
23426,15940,131,588,762,-0.00133,4.050,5.100,0.00559,122,0.00032,0.00017,-519614,-519386
35062,16393,136,809,987,-0.00098,4.360,4.290,0.00388,121,0.00026,0.00012,-518124,-517986
29433,15969,130,697,846,-0.00135,4.220,4.660,0.00442,123,0.00029,0.00014,-519491,-519327
19152,16358,135,608,985,-0.00008,3.170,5.480,0.00705,121,0.00034,0.00017,-519378,-519203
26295,16598,141,654,833,-0.00128,4.140,4.750,0.00536,118,0.00029,0.00016,-519538,-519334
25444,18734,181,635,909,-0.00105,4.090,5.910,0.00711,104,0.00032,0.00016,-519286,-519041
32952,15948,130,751,882,-0.00143,4.380,4.400,0.00395,123,0.00028,0.00013,-519022,-518833
21046,15849,126,645,986,-0.00010,3.180,5.220,0.00599,126,0.00033,0.00015,-521601,-521426
30133,21256,236,764,988,-0.00144,3.970,5.350,0.00783,90,0.00025,0.00013,-517228,-516991
26093,15861,131,645,804,-0.00136,4.130,4.780,0.00502,121,0.00030,0.00016,-516843,-516657
27406,15989,131,667,840,-0.00118,4.150,4.850,0.00478,122,0.00030,0.00015,-520658,-520467
26519,20112,207,708,988,-0.00108,3.790,5.300,0.00781,97,0.00026,0.00014,-521077,-520852
24675,9109,42,548,575,-0.00279,4.470,3.590,0.00170,217,0.00039,0.00018,-515919,-515793
30075,10720,57,646,694,-0.00192,4.630,3.670,0.00190,188,0.00034,0.00015,-520597,-520454
28795,19569,196,718,985,-0.00105,4.040,5.250,0.00681,100,0.00027,0.00014,-520022,-519800
28785,16184,135,691,857,-0.00123,4.100,4.770,0.00469,120,0.00029,0.00014,-518407,-518221
31046,16690,142,718,851,-0.00157,4.290,4.630,0.00457,118,0.00028,0.00014,-520174,-519974
24226,7461,28,385,442,-0.00095,6.330,4.030,0.00116,266,0.00054,0.00026,-520272,-520105
26738,21907,249,664,983,-0.00127,4.120,6.180,0.00931,88,0.00028,0.00015,-519241,-518971
36306,16499,137,824,975,-0.00120,4.420,4.140,0.00377,120,0.00025,0.00012,-518137,-517982
30127,15950,130,722,843,-0.00157,4.240,4.390,0.00432,123,0.00028,0.00014,-520169,-519997
28771,15902,129,744,859,-0.00162,3.930,4.490,0.00448,123,0.00028,0.00014,-519547,-519371
28075,16961,148,668,860,-0.00120,4.240,5.040,0.00527,115,0.00030,0.00015,-518320,-518104
34913,19289,191,803,983,-0.00143,4.320,4.770,0.00547,101,0.00025,0.00012,-519896,-519705
25839,19277,191,569,913,-0.00086,4.640,6.440,0.00739,101,0.00033,0.00018,-521989,-521707
34183,20452,215,811,988,-0.00155,4.130,5.010,0.00629,95,0.00025,0.00012,-521104,-520890
30473,15928,129,729,859,-0.00146,4.200,4.400,0.00423,123,0.00028,0.00014,-517837,-517665
28523,21891,251,728,984,-0.00142,3.940,5.670,0.00880,87,0.00026,0.00014,-518283,-518031
26936,19986,205,707,967,-0.00117,3.780,5.590,0.00761,97,0.00028,0.00014,-520025,-519801
32549,19093,185,804,985,-0.00136,4.060,4.730,0.00568,103,0.00025,0.00012,-524166,-523985
29368,21444,239,733,988,-0.00136,4.050,5.380,0.00814,90,0.00025,0.00014,-520469,-520221
25532,15863,128,650,812,-0.00131,3.990,4.630,0.00501,124,0.00029,0.00016,-523186,-522969
30827,19213,189,797,986,-0.00133,3.890,4.760,0.00613,102,0.00025,0.00013,-518371,-518183
30787,20559,219,777,981,-0.00148,4.000,5.210,0.00711,94,0.00025,0.00013,-518096,-517866
30537,15876,129,721,844,-0.00157,4.240,4.300,0.00422,123,0.00027,0.00014,-518488,-518304
31605,16106,132,787,936,-0.00121,4.080,4.270,0.00418,122,0.00027,0.00013,-518420,-518272
34608,18718,180,832,989,-0.00145,4.150,4.490,0.00520,104,0.00024,0.00012,-517097,-516920
28714,16314,138,703,832,-0.00161,4.150,4.500,0.00481,118,0.00028,0.00014,-515098,-514931
