NVAM0,NVAC1,NBOTAM,TBOTEND,TJUMP,GAM,N0M1,N1M0,ResBOT,ResJUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
29136,15952,133,708,860,-0.00136,4.16,4.21,0.00456,120,0.00026,0.00014,-511464,-511251
33154,18524,179,802,987,-0.00135,4.16,4.41,0.0054,103,0.00024,0.00013,-513277,-513035
27494,15646,127,721,857,-0.00144,3.87,4.21,0.00462,123,0.00027,0.00014,-513828,-513592
32289,15192,118,795,926,-0.00127,4.08,3.94,0.00365,129,0.00026,0.00013,-513168,-512986
28344,15884,131,736,862,-1.58E-03,3.9580027,4.1980587,0.0046218,121.2519084,2.64E-04,1.40E-04,-513643.152,-513422.144
33200,16175,134,862,982,-1.45E-03,4.0018458,3.8630433,0.0040361,120.7089552,2.39E-04,1.21E-04,-510701.804,-510520.066
34398,15961,129,852,989,-1.25E-03,4.1181466,3.8789959,0.0037502,123.7286822,2.43E-04,1.20E-04,-515423.182,-515240.956
35997,21140,235,846,982,-1.96E-03,4.3726839,4.6568622,0.0065283,89.9574468,2.20E-04,1.21E-04,-513726.976,-513410.935
23025,11724,71,552,657,-1.31E-03,4.2338611,4.1687916,0.0030836,165.1267606,3.56E-04,1.84E-04,-513408.921,-513173.132
26396,15955,131,704,868,-1.26E-03,3.8384764,4.3639526,0.0049629,121.7938931,2.74E-04,1.45E-04,-516664.231,-516408.865
