NVAM0,NVAC1,NBOTAM,TBOTEND,TJUMP,GAM,N0M1,N1M0,ResBOT,ResJUMP,MACtoAM,MAMtoAC,MaxEstLhood,MaxObsLhood
6952,18754,162,172,193,0.00000,190.00,281.00,0.000,116,0.014980,0.027270,-208839,-208792
6977,23186,265,194,197,0.00000,157.00,285.00,0.000,87,0.012300,0.022460,-210408,-210350
3333,11791,60,161,193,0.00000,107.00,199.00,0.000,197,0.016860,0.032140,-210342,-210274
5346,10303,44,144,160,-1.00000,191.00,199.00,0.000,234,0.019290,0.035750,-210736,-210680
3414,12317,63,131,158,-1.00000,140.00,267.00,0.000,196,0.021650,0.040950,-208686,-208623
4753,22943,247,192,194,0.00000,108.00,294.00,0.000,93,0.012800,0.022810,-210714,-210658
4617,21233,205,193,197,0.00000,116.00,285.00,0.000,104,0.013410,0.025160,-211014,-210968
6877,20118,184,186,192,0.00000,178.00,280.00,0.000,109,0.013930,0.025910,-210312,-210273
4649,18362,144,189,193,0.00000,121.00,261.00,0.000,128,0.014240,0.026130,-212077,-212028
6987,10014,44,116,175,-1.00000,293.00,231.00,0.000,228,0.023090,0.041920,-207990,-207945
3965,12811,80,106,121,-1.00000,162.00,293.00,0.000,160,0.022870,0.040980,-208837,-208783
8559,16047,122,194,197,0.00000,197.00,205.00,0.000,132,0.012760,0.023000,-210525,-210486
4358,19481,163,189,197,0.00000,116.00,280.00,0.000,120,0.014370,0.026520,-211366,-211326
4554,15430,98,183,196,0.00000,120.00,233.00,0.000,157,0.015080,0.026430,-211209,-211158
12108,16059,129,194,197,0.00000,251.00,192.00,0.000,124,0.011930,0.020750,-208915,-208863
3647,8232,33,74,82,-1.00000,209.00,266.00,0.000,249,0.032290,0.057170,-211355,-211311
6650,10336,48,153,162,-1.00000,222.00,179.00,0.000,215,0.017300,0.033440,-210319,-210267
5044,23703,274,193,197,0.00000,112.00,294.00,0.000,87,0.012410,0.022170,-211098,-211055
3969,19173,155,186,193,0.00000,113.00,286.00,0.000,124,0.014910,0.028440,-210394,-210351
7714,14399,105,194,197,0.00000,163.00,170.00,0.000,137,0.011800,0.021170,-210967,-210895
