lhoods_value,mutation_model
-218996.694,mut_1e-11
-218999.159,mut_1e-11
-219011.843,mut_1e-11
-219048.493,mut_1e-11
-219061.914,mut_1e-11
-219063.065,mut_1e-11
-219073.737,mut_1e-11
-219075.177,mut_1e-11
-219079.027,mut_1e-11
-219081.772,mut_1e-11
-219082.764,mut_1e-11
-219088.68,mut_1e-11
-219104.321,mut_1e-11
-219105.618,mut_1e-11
-219108.796,mut_1e-11
-219113.31,mut_1e-11
-219114.305,mut_1e-11
-219126.732,mut_1e-11
-219126.812,mut_1e-11
-219129.834,mut_1e-11
-219131.863,mut_1e-11
-219132.085,mut_1e-11
-219132.085,mut_1e-11
-219133.063,mut_1e-11
-219135.052,mut_1e-11
-219137.454,mut_1e-11
-219139.58,mut_1e-11
-219143.74,mut_1e-11
-219144.412,mut_1e-11
-219144.82,mut_1e-11
-219145.8,mut_1e-11
-219145.91,mut_1e-11
-219157.818,mut_1e-11
-219158.685,mut_1e-11
-219186.926,mut_1e-11
-219197.653,mut_1e-11
-219199.899,mut_1e-11
-219209.147,mut_1e-11
-219219.017,mut_1e-11
-219232.262,mut_1e-11
-219263.701,mut_1e-11
-219264.376,mut_1e-11
-219266.249,mut_1e-11
-219267.128,mut_1e-11
-219277.743,mut_1e-11
-219278.346,mut_1e-11
-219278.982,mut_1e-11
-219281.408,mut_1e-11
-219287.217,mut_1e-11
-219291.018,mut_1e-11
-218652.118,mut_2e-10
-218704.531,mut_2e-10
-218716.895,mut_2e-10
-218727.087,mut_2e-10
-218730.109,mut_2e-10
-218740.977,mut_2e-10
-218743.976,mut_2e-10
-218751.068,mut_2e-10
-218751.098,mut_2e-10
-218759.072,mut_2e-10
-218766.106,mut_2e-10
-218768.477,mut_2e-10
-218772.581,mut_2e-10
-218774.904,mut_2e-10
-218776.465,mut_2e-10
-218784.922,mut_2e-10
-218785.153,mut_2e-10
-218787.177,mut_2e-10
-218788.431,mut_2e-10
-218793.563,mut_2e-10
-218794.698,mut_2e-10
-218799.88,mut_2e-10
-218800.229,mut_2e-10
-218802.569,mut_2e-10
-218802.594,mut_2e-10
-218802.637,mut_2e-10
-218807.037,mut_2e-10
-218810.096,mut_2e-10
-218812.981,mut_2e-10
-218819.81,mut_2e-10
-218820.768,mut_2e-10
-218820.956,mut_2e-10
-218821.454,mut_2e-10
-218825.989,mut_2e-10
-218828.818,mut_2e-10
-218843.3,mut_2e-10
-218846.817,mut_2e-10
-218850.598,mut_2e-10
-218861.857,mut_2e-10
-218882.137,mut_2e-10
-218889.878,mut_2e-10
-218890.186,mut_2e-10
-219077.227,mut_2e-10
-220296.67,mut_2e-10
-220303.133,mut_2e-10
-220303.356,mut_2e-10
-220305.468,mut_2e-10
-220307.4,mut_2e-10
-220312.008,mut_2e-10
-220315.451,mut_2e-10
-218644.238,mut_4e-10
-218693.215,mut_4e-10
-218716.062,mut_4e-10
-218739.312,mut_4e-10
-218751.307,mut_4e-10
-218766.587,mut_4e-10
-218787.11,mut_4e-10
-218787.822,mut_4e-10
-218787.999,mut_4e-10
-218790.303,mut_4e-10
-218790.998,mut_4e-10
-218791.598,mut_4e-10
-218792.277,mut_4e-10
-218795.244,mut_4e-10
-218797.148,mut_4e-10
-218797.874,mut_4e-10
-218802.044,mut_4e-10
-218803.295,mut_4e-10
-218803.487,mut_4e-10
-218811.101,mut_4e-10
-218811.532,mut_4e-10
-218812.048,mut_4e-10
-218817.824,mut_4e-10
-218818.072,mut_4e-10
-218819.554,mut_4e-10
-218821.313,mut_4e-10
-218822.672,mut_4e-10
-218825.402,mut_4e-10
-218831.166,mut_4e-10
-218831.302,mut_4e-10
-218832.026,mut_4e-10
-218832.76,mut_4e-10
-218835.147,mut_4e-10
-218835.372,mut_4e-10
-218836.383,mut_4e-10
-218836.419,mut_4e-10
-218838.505,mut_4e-10
-218842.318,mut_4e-10
-218844.785,mut_4e-10
-218847.544,mut_4e-10
-218850.343,mut_4e-10
-218860.652,mut_4e-10
-218861.465,mut_4e-10
-218861.94,mut_4e-10
-218861.948,mut_4e-10
-218862.1,mut_4e-10
-218862.222,mut_4e-10
-218877.088,mut_4e-10
-218881.98,mut_4e-10
-218882.384,mut_4e-10
-218630.908,mut_6e-10
-218721.484,mut_6e-10
-218721.666,mut_6e-10
-218728.079,mut_6e-10
-218738.147,mut_6e-10
-218741.568,mut_6e-10
-218747.74,mut_6e-10
-218752.565,mut_6e-10
-218753.94,mut_6e-10
-218759.832,mut_6e-10
-218764.018,mut_6e-10
-218764.917,mut_6e-10
-218766.26,mut_6e-10
-218766.726,mut_6e-10
-218768.738,mut_6e-10
-218774.962,mut_6e-10
-218775.189,mut_6e-10
-218775.743,mut_6e-10
-218776.79,mut_6e-10
-218778.193,mut_6e-10
-218780.101,mut_6e-10
-218785.917,mut_6e-10
-218787.406,mut_6e-10
-218789.692,mut_6e-10
-218791.66,mut_6e-10
-218793.813,mut_6e-10
-218794.876,mut_6e-10
-218797.836,mut_6e-10
-218798.956,mut_6e-10
-218803.406,mut_6e-10
-218805.67,mut_6e-10
-218808.473,mut_6e-10
-218811.586,mut_6e-10
-218812.331,mut_6e-10
-218812.766,mut_6e-10
-218816.707,mut_6e-10
-218819.34,mut_6e-10
-218825.375,mut_6e-10
-218832.887,mut_6e-10
-218837.231,mut_6e-10
-218843.513,mut_6e-10
-218851.008,mut_6e-10
-218851.849,mut_6e-10
-218871.873,mut_6e-10
-218880.79,mut_6e-10
-218893.656,mut_6e-10
-218898.739,mut_6e-10
-218937.455,mut_6e-10
-220312.959,mut_6e-10
-220316.099,mut_6e-10
-218661.26,mut_8e-10
-218670.612,mut_8e-10
-218685.92,mut_8e-10
-218699.716,mut_8e-10
-218720.313,mut_8e-10
-218721.869,mut_8e-10
-218733.754,mut_8e-10
-218739.441,mut_8e-10
-218750.918,mut_8e-10
-218764.257,mut_8e-10
-218770.604,mut_8e-10
-218774.862,mut_8e-10
-218776.584,mut_8e-10
-218778.183,mut_8e-10
-218778.506,mut_8e-10
-218798.477,mut_8e-10
-218806.098,mut_8e-10
-218806.957,mut_8e-10
-218813.546,mut_8e-10
-218813.956,mut_8e-10
-218818.706,mut_8e-10
-218819.233,mut_8e-10
-218821.625,mut_8e-10
-218826.584,mut_8e-10
-218828.323,mut_8e-10
-218835.042,mut_8e-10
-218844.108,mut_8e-10
-218860.239,mut_8e-10
-218861.881,mut_8e-10
-218865.374,mut_8e-10
-218871.236,mut_8e-10
-218875,mut_8e-10
-218883.033,mut_8e-10
-218890.951,mut_8e-10
-218896.22,mut_8e-10
-218908.085,mut_8e-10
-218936.854,mut_8e-10
-218942.559,mut_8e-10
-220313.703,mut_8e-10
-220316.826,mut_8e-10
-220323.321,mut_8e-10
-220327.044,mut_8e-10
-220328.088,mut_8e-10
-220328.242,mut_8e-10
-220328.505,mut_8e-10
-220328.829,mut_8e-10
-220332.832,mut_8e-10
-220333.836,mut_8e-10
-220334.898,mut_8e-10
-220339.325,mut_8e-10
-219022.428,mut_1e-11_INB70
-219026.987,mut_1e-11_INB70
-219033.61,mut_1e-11_INB70
-219033.771,mut_1e-11_INB70
-219041.303,mut_1e-11_INB70
-219045.081,mut_1e-11_INB70
-219045.736,mut_1e-11_INB70
-219048.376,mut_1e-11_INB70
-219050.187,mut_1e-11_INB70
-219058.163,mut_1e-11_INB70
-219068.294,mut_1e-11_INB70
-219072.205,mut_1e-11_INB70
-219075.493,mut_1e-11_INB70
-219075.545,mut_1e-11_INB70
-219076.506,mut_1e-11_INB70
-219089.195,mut_1e-11_INB70
-219091.331,mut_1e-11_INB70
-219092.129,mut_1e-11_INB70
-219097.079,mut_1e-11_INB70
-219098.958,mut_1e-11_INB70
-219105.607,mut_1e-11_INB70
-219109.205,mut_1e-11_INB70
-219110.962,mut_1e-11_INB70
-219111.248,mut_1e-11_INB70
-219114.89,mut_1e-11_INB70
-219115.786,mut_1e-11_INB70
-219116.061,mut_1e-11_INB70
-219117.376,mut_1e-11_INB70
-219119.114,mut_1e-11_INB70
-219121.893,mut_1e-11_INB70
-219123.227,mut_1e-11_INB70
-219124.294,mut_1e-11_INB70
-219124.391,mut_1e-11_INB70
-219124.954,mut_1e-11_INB70
-219125.595,mut_1e-11_INB70
-219131.846,mut_1e-11_INB70
-219165.292,mut_1e-11_INB70
-219183.36,mut_1e-11_INB70
-219196.205,mut_1e-11_INB70
-219201.532,mut_1e-11_INB70
-219208.944,mut_1e-11_INB70
-219219.527,mut_1e-11_INB70
-219229.865,mut_1e-11_INB70
-219232.295,mut_1e-11_INB70
-219234.785,mut_1e-11_INB70
-219240.411,mut_1e-11_INB70
-219242.099,mut_1e-11_INB70
-219252.238,mut_1e-11_INB70
-219254.312,mut_1e-11_INB70
-219264.486,mut_1e-11_INB70
-218659.157,mut_2e-10_INB70
-218660.927,mut_2e-10_INB70
-218673.918,mut_2e-10_INB70
-218696.04,mut_2e-10_INB70
-218712.207,mut_2e-10_INB70
-218743.811,mut_2e-10_INB70
-218747.283,mut_2e-10_INB70
-218750.74,mut_2e-10_INB70
-218753.93,mut_2e-10_INB70
-218757.993,mut_2e-10_INB70
-218764.359,mut_2e-10_INB70
-218766.532,mut_2e-10_INB70
-218767.472,mut_2e-10_INB70
-218770.746,mut_2e-10_INB70
-218770.855,mut_2e-10_INB70
-218772.035,mut_2e-10_INB70
-218773.023,mut_2e-10_INB70
-218774.351,mut_2e-10_INB70
-218774.495,mut_2e-10_INB70
-218775.004,mut_2e-10_INB70
-218775.083,mut_2e-10_INB70
-218777.744,mut_2e-10_INB70
-218779.724,mut_2e-10_INB70
-218788.369,mut_2e-10_INB70
-218789.042,mut_2e-10_INB70
-218791.945,mut_2e-10_INB70
-218792.12,mut_2e-10_INB70
-218796.1,mut_2e-10_INB70
-218800.196,mut_2e-10_INB70
-218800.632,mut_2e-10_INB70
-218801.855,mut_2e-10_INB70
-218804.43,mut_2e-10_INB70
-218818.312,mut_2e-10_INB70
-218822.703,mut_2e-10_INB70
-218822.917,mut_2e-10_INB70
-218830.392,mut_2e-10_INB70
-218834.818,mut_2e-10_INB70
-218857.136,mut_2e-10_INB70
-218868.014,mut_2e-10_INB70
-218880.032,mut_2e-10_INB70
-218918.879,mut_2e-10_INB70
-218923.877,mut_2e-10_INB70
-219114.337,mut_2e-10_INB70
-220305.485,mut_2e-10_INB70
-220309.018,mut_2e-10_INB70
-220309.044,mut_2e-10_INB70
-220310.812,mut_2e-10_INB70
-220312.117,mut_2e-10_INB70
-220312.782,mut_2e-10_INB70
-220316.545,mut_2e-10_INB70
-218640.331,mut_4e-10_INB70
-218717.424,mut_4e-10_INB70
-218719.611,mut_4e-10_INB70
