1 observations
	dPOP1_AM_0	dPOP1_AM_1	dPOP1_AM_2	dPOP1_AM_3	dPOP1_AM_4	dPOP1_AM_5	dPOP1_AM_6	dPOP1_AM_7	dPOP1_AM_8	dPOP1_AM_9	dPOP1_AM_10	dPOP1_AM_11	dPOP1_AM_12	dPOP1_AM_13	dPOP1_AM_14	dPOP1_AM_15	dPOP1_AM_16	dPOP1_AM_17	dPOP1_AM_18	dPOP1_AM_19	dPOP1_AM_20	dPOP1_AM_21	dPOP1_AM_22	dPOP1_AM_23	dPOP1_AM_24	dPOP1_AM_25	dPOP1_AM_26	dPOP1_AM_27	dPOP1_AM_28
dPOP2_AC_0	12471487	13315	4093	924	293	90	101	80	34	28	27	43	39	35	19	23	14	2	4	6	0	0	0	3	0	0	0	0	0
dPOP2_AC_1	21035	7213	2836	736	160	43	43	26	30	27	41	18	19	27	12	20	11	7	7	6	12	8	3	1.5	0	0	0	0	0
dPOP2_AC_2	11791	2085	850	278	104	65	53	46	49	48	61	45	42	38	41	54	57	48	54	48	56	45	16	0	0	0	0	0	0
dPOP2_AC_3	5001	434	147	44	24	15	14	13	7	11	13	25	21	14	24	25	29	30	32	27	28	19.5	0	0	0	0	0	0	0
dPOP2_AC_4	19457	1262	335	96	31	11	5	9	9	9	15	32	37	33	46	28	25	21	41	44	23.5	0	0	0	0	0	0	0	0
dPOP2_AC_5	4625	804	292	77	23	12	5	4	1	3	6	3	7	10	6	9	8	6	8	7.5	0	0	0	0	0	0	0	0	0
dPOP2_AC_6	4518	452	117	37	8	6	9	3	4	5	7	3	8	3	10	5	2	5	1.5	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_7	2583	278	47	18	9	5	4	1	6	3	4	2	4	2	4	2	3	2.5	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_8	760	218	78	25	13	3	5	4	2	4	1	5	7	5	14	5	2	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_9	436	171	67	20	7	4	4	0	7	1	4	2	4	3	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_10	568	135	51	14	8	0	2	1	3	4	5	3	3	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_11	568	211	96	22	5	2	4	5	4	4	3	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_12	619	568	270	89	22	8	7	9	4	2	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_13	163	165	76	34	11	1	3	3	2	3	4	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_14	170	150	81	32	12	5	5	5	7	5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_15	386	488	342	136	68	27	10	14	8	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_16	1152	1593	1207	717	296	143	70	67	23.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_17	195	310	248	126	64	57	33	19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_18	3	26	32	16	33	27	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_19	0	0	0	4	2	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dPOP2_AC_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
