1 observations
	dPOP1_AM_0	dPOP1_AM_1	dPOP1_AM_2	dPOP1_AM_3	dPOP1_AM_4	dPOP1_AM_5	dPOP1_AM_6	dPOP1_AM_7	dPOP1_AM_8	dPOP1_AM_9	dPOP1_AM_10	dPOP1_AM_11	dPOP1_AM_12	dPOP1_AM_13	dPOP1_AM_14	dPOP1_AM_15	dPOP1_AM_16	dPOP1_AM_17	dPOP1_AM_18	dPOP1_AM_19	dPOP1_AM_20	dPOP1_AM_21	dPOP1_AM_22	dPOP1_AM_23	dPOP1_AM_24	dPOP1_AM_25	dPOP1_AM_26	dPOP1_AM_27	dPOP1_AM_28
dPOP2_AC_0	12470993	13291	4038	899	245	68	82	67	25	21	20	32	28	23	6	3	4	0	2	3	0	0	0	3	0	0	0	0	0
dPOP2_AC_1	21009	7203	2822	732	149	35	34	21	21	22	31	13	12	18	4	9	4	2	1	2	7	6	3	1	1	1	0	0	0
dPOP2_AC_2	11783	2080	841	255	86	52	30	34	40	41	42	32	23	21	24	23	27	14	13	24	33	30	19	14	17	4	7	3	0
dPOP2_AC_3	4994	433	145	42	21	13	11	11	6	8	11	17	16	8	9	17	6	9	11	11	10	18	16	23	16	15	26	19	15
dPOP2_AC_4	19438	1254	333	93	29	11	4	7	4	5	11	22	31	19	19	10	13	10	14	12	11	24	26	31	45	64	88	81	43
dPOP2_AC_5	4621	801	290	76	23	10	4	2	1	1	4	1	3	5	4	3	1	2	3	1	1	6	6	10	11	11	24	19	9
dPOP2_AC_6	4510	450	116	37	8	4	5	3	3	5	1	3	2	2	8	1	1	2	1	2	4	3	4	3	1	3	2	5	1
dPOP2_AC_7	2578	277	45	18	8	3	3	1	2	3	4	1	3	1	1	2	1	2	1	1	1	0	1	1	1	3	4	1	2
dPOP2_AC_8	757	213	73	22	11	3	2	3	2	1	0	4	6	3	10	1	1	1	3	0	1	3	1	1	4	2	8	7	6
dPOP2_AC_9	428	167	65	18	5	3	0	0	5	1	3	0	1	2	3	1	4	2	2	1	0	1	1	0	1	1	3	2	3
dPOP2_AC_10	565	133	48	13	8	0	1	0	3	4	3	3	1	0	15	2	2	0	2	0	0	1	1	0	0	1	3	2	3
dPOP2_AC_11	565	209	93	21	4	2	3	4	4	3	1	2	3	1	9	1	3	2	1	0	2	0	4	1	2	2	2	4	8
dPOP2_AC_12	613	561	262	87	18	7	6	6	3	2	2	3	3	4	4	2	1	1	1	3	0	1	3	0	2	3	5	5	3
dPOP2_AC_13	161	164	72	31	10	0	2	3	1	2	3	3	2	0	3	1	1	1	0	0	4	0	1	2	1	0	2	1	5
dPOP2_AC_14	169	145	79	29	11	2	1	2	3	3	2	3	1	4	2	1	6	0	6	0	1	0	4	2	0	0	1	2	8
dPOP2_AC_15	377	469	318	125	57	17	4	8	7	14	5	4	7	6	2	5	4	2	2	2	0	2	1	2	0	1	2	3	4
dPOP2_AC_16	1109	1512	1119	653	251	112	44	43	36	32	27	11	12	18	27	14	6	10	4	4	5	2	1	0	2	3	2	8	19
dPOP2_AC_17	180	291	222	111	48	34	17	21	18	16	21	21	23	8	15	6	5	8	2	3	1	2	3	2	3	2	2	1	7
dPOP2_AC_18	3	23	25	12	16	13	13	15	23	24	41	34	30	31	17	17	19	13	19	7	9	12	23	13	18	23	9	5	8
dPOP2_AC_19	0	0	0	3	1	2	0	2	5	4	6	5	7	11	8	9	7	5	10	5	9	5	9	8	11	4	14	10	26
dPOP2_AC_20	0	0	0	0	0	0	0	0	0	3	2	2	10	20	13	12	11	11	7	7	9	13	19	22	48	25	55	24	494
