1 observations
	dPOP1_AM_0	dPOP1_AM_1	dPOP1_AM_2	dPOP1_AM_3	dPOP1_AM_4	dPOP1_AM_5	dPOP1_AM_6	dPOP1_AM_7	dPOP1_AM_8	dPOP1_AM_9	dPOP1_AM_10	dPOP1_AM_11	dPOP1_AM_12	dPOP1_AM_13	dPOP1_AM_14	dPOP1_AM_15	dPOP1_AM_16	dPOP1_AM_17	dPOP1_AM_18	dPOP1_AM_19	dPOP1_AM_20	dPOP1_AM_21	dPOP1_AM_22	dPOP1_AM_23	dPOP1_AM_24	dPOP1_AM_25	dPOP1_AM_26	dPOP1_AM_27	dPOP1_AM_28	dPOP1_AM_29	dPOP1_AM_30	dPOP1_AM_31	dPOP1_AM_32
dPOP2_AC_0	12467787	13241	4505	1273	329	92	71	45	28	31	27	17	25	18	26	23	14	5	5	0	0	1	1	5	0	0	0	0	0	0	0	0	0
dPOP2_AC_1	20942	7404	3266	1023	227	52	22	8	15	32	38	17	19	12	6	10	7	6	2	4	3	4	4	4	2	3	1	0	1	1	0	0	0
dPOP2_AC_2	11927	2255	1109	355	111	54	28	27	34	39	43	23	22	18	18	24	22	15	16	16	17	13	23	25	28	21	15	9	14	6	5	2	0
dPOP2_AC_3	4886	502	202	69	25	12	7	11	8	9	13	8	14	5	14	17	8	13	14	6	4	5	5	11	13	17	18	20	14	14	21	17	10
dPOP2_AC_4	18904	1256	380	129	31	12	5	6	6	2	5	13	12	17	22	19	18	9	19	10	10	15	8	13	22	25	24	37	41	58	87	66	29
dPOP2_AC_5	3183	722	319	112	35	11	4	2	2	3	1	0	3	2	4	2	4	2	3	1	2	5	4	4	3	5	6	7	8	16	21	18	2
dPOP2_AC_6	1791	295	138	41	14	7	3	1	1	5	0	2	3	2	5	3	0	3	3	1	1	1	1	4	3	5	2	2	2	3	2	3	2
dPOP2_AC_7	2999	243	41	17	3	3	4	2	2	3	2	2	3	1	1	2	1	1	0	0	1	1	0	1	1	1	1	0	2	2	4	1	2
dPOP2_AC_8	3388	322	68	28	12	3	2	1	0	0	2	0	3	2	2	4	1	3	1	0	1	2	1	1	2	3	2	1	3	2	7	6	6
dPOP2_AC_9	1645	265	72	27	8	1	2	1	1	3	3	1	1	1	4	1	7	1	1	0	2	1	0	0	0	0	2	0	1	0	2	2	3
dPOP2_AC_10	487	127	57	18	11	1	1	2	1	0	2	4	2	4	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2
dPOP2_AC_11	346	86	19	9	1	0	0	1	1	0	2	3	0	2	1	0	11	6	1	1	1	3	0	1	0	1	2	2	1	2	1	0	6
dPOP2_AC_12	453	81	27	12	7	1	1	0	2	2	1	0	4	1	0	7	7	0	1	0	0	2	0	1	1	2	7	0	0	1	2	4	2
dPOP2_AC_13	459	193	83	34	7	1	1	5	2	4	4	1	2	1	1	1	2	1	1	1	0	1	0	0	2	1	0	0	1	0	3	4	4
dPOP2_AC_14	516	530	290	116	33	7	3	2	6	4	2	3	0	0	1	2	3	2	4	0	0	1	1	2	0	2	0	1	2	2	0	3	8
dPOP2_AC_15	158	150	84	32	20	1	1	3	2	1	3	1	1	1	1	2	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	1	4
dPOP2_AC_16	151	141	84	42	15	5	2	0	3	1	2	3	0	2	0	2	4	1	3	1	2	0	4	0	1	0	4	2	0	0	1	2	2
dPOP2_AC_17	310	422	334	166	81	33	10	7	8	10	5	8	2	7	1	1	11	6	3	4	1	0	0	0	0	2	2	1	0	1	2	3	3
dPOP2_AC_18	884	1290	1164	751	409	151	83	44	39	26	26	22	17	14	18	7	13	19	24	13	4	9	3	2	2	2	0	0	3	2	2	8	19
dPOP2_AC_19	127	256	226	132	73	47	23	14	15	8	13	23	21	21	18	8	12	6	9	4	6	3	2	2	1	2	1	2	3	2	2	1	7
dPOP2_AC_20	0	19	22	15	15	12	16	11	20	21	29	34	24	25	9	16	19	17	12	11	14	11	18	8	12	12	21	13	13	23	7	6	8
dPOP2_AC_21	0	0	0	2	2	1	1	1	3	2	4	6	7	3	8	1	3	9	12	14	8	6	1	1	6	3	9	9	12	5	13	9	26
dPOP2_AC_22	0	0	0	0	0	0	0	0	0	0	2	0	2	4	3	8	7	28	18	10	8	6	10	13	5	10	22	25	52	26	39	20	486
