	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32
d1_0	0	0.0274481	0.00653287	0.0019893	0.000697739	0.000318188	0.000193794	0.000144812	0.000113156	0.000101597	8.21508e-05	7.28198e-05	6.55099e-05	6.12232e-05	5.31878e-05	5.12655e-05	4.63057e-05	3.92706e-05	3.37865e-05	3.13097e-05	2.6139e-05	2.37612e-05	2.54122e-05	2.46544e-05	2.21768e-05	3.2755e-05	4.24753e-05	3.51862e-05	0	0	0	0	0
d1_1	0.158958	0.0220291	0.00573204	0.00185581	0.000718026	0.000352747	0.000223059	0.000171731	0.000148659	0.000138503	0.000126136	0.000121328	0.000114809	9.98505e-05	9.57543e-05	8.96991e-05	8.84579e-05	8.16949e-05	7.36604e-05	7.32108e-05	6.27022e-05	6.05256e-05	6.7663e-05	6.23008e-05	7.624e-05	9.7621e-05	7.35264e-05	0	0	0	0	0	0
d1_2	0.102505	0.0207341	0.00611434	0.00212632	0.000838421	0.000402024	0.000248151	0.000176521	0.000171657	0.000152703	0.000143046	0.000145266	0.000138682	0.000147828	0.000122271	0.000135617	0.000127226	0.00012084	0.0001107	0.000108487	0.000109333	0.000101062	0.000100983	0.000110226	0.000132295	8.6732e-05	0	0	0	0	0	0	0
d1_3	0.0692164	0.0188754	0.00631934	0.00231647	0.000959766	0.000449522	0.000252222	0.000198601	0.000175928	0.000175466	0.000160155	0.000155381	0.000158519	0.000150945	0.000153042	0.000153181	0.000134396	0.000138089	0.000130627	0.000131336	0.000124207	0.000130828	0.000137288	0.000142489	8.97763e-05	0	0	0	0	0	0	0	0
d1_4	0.0486347	0.0171672	0.0063434	0.00252838	0.00105944	0.000509682	0.00029455	0.000215602	0.000188942	0.000172643	0.000159211	0.000168835	0.000161115	0.000164179	0.000156152	0.00015438	0.000158279	0.000143838	0.000147169	0.000147775	0.000153677	0.00014502	0.00014607	9.21732e-05	0	0	0	0	0	0	0	0	0
d1_5	0.0353475	0.0153075	0.0064466	0.00265754	0.00114194	0.000578265	0.00030738	0.000219471	0.000202269	0.000169972	0.000175475	0.000166437	0.000164485	0.000165442	0.000165209	0.000161404	0.000150785	0.000157631	0.000154359	0.000159698	0.000160159	0.000168581	8.57646e-05	0	0	0	0	0	0	0	0	0	0
d1_6	0.0264258	0.0138533	0.00630799	0.00283124	0.00125238	0.000589994	0.000335077	0.000231848	0.000180093	0.000170994	0.000170616	0.000174939	0.000177286	0.000162651	0.000162798	0.000156291	0.000161402	0.000158945	0.000155717	0.000156989	0.000164067	8.76986e-05	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.020043	0.0123468	0.00620094	0.00291362	0.00134443	0.000686171	0.000373663	0.000241001	0.000194059	0.000175298	0.00016066	0.000158531	0.000162315	0.000164539	0.000157233	0.000170233	0.00016768	0.000157321	0.000165889	0.000159487	8.8964e-05	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.0156136	0.0110107	0.00601116	0.00298528	0.00144433	0.000738317	0.000388582	0.000255728	0.00021546	0.000179139	0.000174333	0.000172103	0.000172085	0.000163529	0.00015881	0.000156982	0.000163732	0.000170157	0.000167172	8.30689e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.01216	0.00976697	0.00584754	0.00304697	0.00153874	0.000808276	0.00042176	0.000269106	0.000220349	0.000186467	0.000174726	0.000166254	0.000170192	0.00016629	0.000164986	0.000159722	0.000163584	0.000154235	8.25155e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
