scaffold,start,end,mid,sites,pi_VDESAC,pi_VDESAM,pi_VJACAC,pi_VJACAM,pi_VJACAN,dxy_VDESAC_VDESAM,dxy_VDESAC_VJACAC,dxy_VDESAC_VJACAM,dxy_VDESAC_VJACAN,dxy_VDESAM_VJACAC,dxy_VDESAM_VJACAM,dxy_VDESAM_VJACAN,dxy_VJACAC_VJACAM,dxy_VJACAC_VJACAN,dxy_VJACAM_VJACAN,Fst_VDESAC_VDESAM,Fst_VDESAC_VJACAC,Fst_VDESAC_VJACAM,Fst_VDESAC_VJACAN,Fst_VDESAM_VJACAC,Fst_VDESAM_VJACAM,Fst_VDESAM_VJACAN,Fst_VJACAC_VJACAM,Fst_VJACAC_VJACAN,Fst_VJACAM_VJACAN
NW_019211454.1,1,50000,33766,11179,0.0029,0.0012,0.0019,0.0015,0.0008,0.0027,0.0095,0.0095,0.0094,0.0095,0.0096,0.0095,0.0019,0.0017,0.0015,0.1418,0.6023,0.6107,0.4683,0.7259,0.755,0.666,0.0569,0.046,0.0943
NW_019211454.1,20001,70000,45511,17080,0.0025,0.001,0.0013,0.0011,0.0003,0.0022,0.0078,0.0079,0.0077,0.0078,0.0079,0.0077,0.0014,0.0011,0.0011,0.1286,0.6216,0.6177,0.4746,0.7482,0.765,0.6802,0.0748,0.0534,0.1359
NW_019211454.1,40001,90000,64086,16839,0.0023,0.0007,0.0013,0.0012,0.0006,0.002,0.0069,0.007,0.0069,0.0069,0.007,0.0068,0.0015,0.0013,0.0014,0.1508,0.6021,0.5859,0.4491,0.7549,0.767,0.7111,0.0788,0.0626,0.1317
NW_019211454.1,60001,110000,84636,16991,0.002,0.0005,0.0015,0.0014,0.0009,0.0017,0.0075,0.0075,0.0075,0.0074,0.0074,0.0074,0.0017,0.0016,0.0016,0.1766,0.6269,0.6226,0.4991,0.7619,0.7873,0.7564,0.0665,0.0633,0.107
NW_019211454.1,80001,130000,104698,16366,0.0018,0.0005,0.0017,0.0015,0.001,0.0017,0.0072,0.0072,0.007,0.0075,0.0074,0.0072,0.0018,0.0017,0.0015,0.2119,0.61,0.6246,0.5057,0.7396,0.7813,0.7519,0.0599,0.0414,0.0504
NW_019211454.1,100001,150000,126143,16649,0.0019,0.0006,0.0015,0.0012,0.0007,0.0019,0.0068,0.0068,0.0067,0.007,0.007,0.0069,0.0016,0.0013,0.0014,0.2032,0.5983,0.6194,0.4872,0.731,0.7785,0.7226,0.0709,0.0294,0.1161
NW_019211454.1,120001,170000,145437,16873,0.002,0.0007,0.0014,0.0009,0.0006,0.0019,0.0069,0.0069,0.0068,0.007,0.007,0.0069,0.0014,0.0012,0.0012,0.1667,0.6074,0.631,0.4843,0.7335,0.7817,0.6965,0.0912,0.0374,0.1604
NW_019211454.1,140001,190000,163902,16844,0.0019,0.0007,0.0014,0.0008,0.0005,0.0017,0.0071,0.007,0.0072,0.0071,0.007,0.0072,0.0013,0.0012,0.001,0.1335,0.6304,0.6587,0.5204,0.7417,0.7949,0.7128,0.0715,0.0454,0.1507
NW_019211454.1,160001,210000,184299,15931,0.0021,0.0007,0.0017,0.0012,0.0008,0.0018,0.007,0.007,0.0071,0.0069,0.0068,0.0069,0.0017,0.0017,0.0015,0.1332,0.5786,0.6094,0.4753,0.7042,0.766,0.6991,0.0733,0.0686,0.1655
NW_019211454.1,180001,230000,205973,16056,0.0022,0.0005,0.0016,0.0013,0.0011,0.0019,0.0065,0.0066,0.0066,0.0063,0.0064,0.0063,0.0018,0.0019,0.002,0.1722,0.5514,0.5669,0.428,0.7025,0.7547,0.7017,0.0748,0.0798,0.1805
NW_019211454.1,200001,250000,223350,14987,0.0027,0.0006,0.0018,0.0015,0.0011,0.0024,0.0065,0.0067,0.0063,0.0064,0.0067,0.0062,0.0019,0.0019,0.002,0.2045,0.4919,0.5048,0.3486,0.6856,0.7385,0.6748,0.069,0.0613,0.1506
NW_019211454.1,220001,270000,245730,15712,0.0023,0.0007,0.0013,0.0011,0.0011,0.0021,0.0054,0.0055,0.0056,0.0053,0.0056,0.0056,0.0014,0.0015,0.0015,0.178,0.5021,0.5064,0.353,0.6884,0.7243,0.6277,0.053,0.0504,0.1202
NW_019211454.1,240001,290000,266712,17167,0.0023,0.0009,0.0012,0.001,0.0008,0.0021,0.0061,0.0063,0.0063,0.0058,0.006,0.006,0.0013,0.0012,0.0012,0.1364,0.5573,0.5603,0.4057,0.6931,0.721,0.6104,0.0535,0.044,0.0881
NW_019211454.1,260001,310000,284210,17329,0.002,0.0009,0.0011,0.0009,0.0008,0.0018,0.0064,0.0064,0.0066,0.006,0.0061,0.0063,0.0011,0.0012,0.001,0.1014,0.6144,0.6195,0.4685,0.7078,0.7295,0.6076,0.0551,0.0456,0.0686
NW_019211454.1,280001,330000,303338,16278,0.002,0.0009,0.0011,0.0007,0.0006,0.0018,0.0066,0.0066,0.0067,0.0063,0.0063,0.0064,0.0011,0.0011,0.0009,0.098,0.6306,0.6452,0.4822,0.7243,0.757,0.625,0.078,0.0645,0.1139
NW_019211454.1,300001,350000,325638,15750,0.0023,0.0009,0.0014,0.0008,0.0007,0.0021,0.007,0.007,0.007,0.007,0.007,0.0071,0.0013,0.0014,0.0011,0.1545,0.5926,0.6154,0.4533,0.7249,0.7743,0.6608,0.0813,0.0649,0.1191
NW_019211454.1,320001,370000,345115,16771,0.0024,0.0006,0.0013,0.0009,0.0008,0.0021,0.0067,0.0066,0.0067,0.0067,0.0066,0.0067,0.0013,0.0013,0.0012,0.189,0.5774,0.5818,0.4195,0.7536,0.7992,0.7198,0.0843,0.0538,0.1208
NW_019211454.1,340001,390000,365041,16653,0.0021,0.0007,0.0014,0.001,0.0007,0.0019,0.0055,0.0055,0.0055,0.0054,0.0054,0.0054,0.0014,0.0014,0.0012,0.1536,0.5254,0.545,0.3922,0.6784,0.7327,0.6357,0.0629,0.0615,0.1235
NW_019211454.1,360001,410000,385869,17795,0.0017,0.0006,0.0011,0.0008,0.0006,0.0016,0.0045,0.0047,0.0044,0.0045,0.0046,0.0043,0.0011,0.001,0.001,0.1636,0.5427,0.5616,0.3936,0.6883,0.733,0.6143,0.0717,0.0453,0.1133
NW_019211454.1,380001,430000,405796,18967,0.0016,0.0005,0.0007,0.0005,0.0007,0.0014,0.0045,0.0045,0.0046,0.0044,0.0044,0.0044,0.0007,0.0008,0.0007,0.158,0.6002,0.6024,0.418,0.7548,0.7931,0.6633,0.0677,0.0471,0.1163
NW_019211454.1,400001,450000,424800,19554,0.0019,0.0007,0.0008,0.0006,0.0006,0.0018,0.0054,0.0053,0.0054,0.0054,0.0054,0.0055,0.0008,0.0009,0.0007,0.1798,0.6053,0.5937,0.4236,0.7593,0.7766,0.6563,0.0491,0.0506,0.0817
NW_019211454.1,420001,470000,443657,17733,0.0029,0.001,0.0013,0.0009,0.0006,0.0028,0.0069,0.0069,0.0068,0.007,0.0069,0.0068,0.0012,0.0012,0.0009,0.1751,0.5453,0.5403,0.3756,0.7177,0.7462,0.6291,0.0497,0.0451,0.0757
NW_019211454.1,440001,490000,465228,16818,0.0033,0.001,0.0017,0.0011,0.0007,0.0029,0.0078,0.0078,0.0078,0.0077,0.0076,0.0076,0.0016,0.0016,0.0012,0.1538,0.5243,0.5346,0.3741,0.6967,0.7458,0.6393,0.0642,0.0475,0.1044
NW_019211454.1,460001,510000,485631,16861,0.003,0.0007,0.0023,0.0015,0.0009,0.0024,0.0078,0.0076,0.0078,0.0073,0.0072,0.0073,0.0022,0.0023,0.0017,0.1438,0.4959,0.5301,0.4018,0.654,0.7413,0.6987,0.0637,0.0739,0.1152
NW_019211454.1,480001,530000,504524,17712,0.0023,0.0006,0.0024,0.0016,0.0012,0.002,0.0066,0.0066,0.0067,0.0066,0.0065,0.0066,0.0024,0.0024,0.0019,0.1796,0.4802,0.5382,0.4166,0.6234,0.7224,0.6733,0.0759,0.0629,0.1091
NW_019211454.1,500001,550000,525130,18158,0.0028,0.0009,0.0022,0.0015,0.001,0.0026,0.0073,0.0072,0.007,0.0073,0.0072,0.0069,0.0022,0.002,0.0016,0.1722,0.488,0.5188,0.3776,0.6446,0.7152,0.6359,0.0748,0.044,0.0862
NW_019211454.1,520001,570000,544716,17413,0.003,0.0011,0.0023,0.0016,0.0009,0.0028,0.0082,0.0081,0.008,0.0081,0.0079,0.0078,0.0023,0.0021,0.0018,0.1594,0.5106,0.5364,0.4037,0.6474,0.7062,0.6262,0.0714,0.0512,0.1105
NW_019211454.1,540001,590000,564938,16702,0.0028,0.0014,0.0023,0.0016,0.0007,0.0027,0.0077,0.0076,0.0076,0.0076,0.0075,0.0075,0.0023,0.0021,0.0017,0.14,0.5084,0.5394,0.4232,0.611,0.6595,0.5702,0.0598,0.0623,0.1113
